loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
31,15,14,8,1,1,0,0.0051792408998784,6,4,2,0.25,3082,385,1380,0,8,3,n,"src/main/org/apache/tools/ant/taskdefs/optional/ccm/Continuus.java"
40,27,27,6,0,0,0,0.00385410070911608,5,4,1,0.333333333333333,2773,462,1780,1,5,2,n,"src/main/org/apache/tools/ant/taskdefs/optional/extension/resolvers/AntResolver.java"
3,3,0,3,0,0,0,0.000464726832476466,3,0,3,0.333333333333333,865,288,337,204,0,0,n,"src/main/org/apache/tools/ant/property/NullReturn.java"
9,0,0,1,0,0,0,0.000396586846316231,1,0,1,1,1545,1545,1545,1545,1,1,n,"src/main/org/apache/tools/ant/types/resources/GZipResource.java"
323,360,33,34,2,1,0,0.0205899540283434,10,9,1,0.323529411764706,3460,101,1348,0,34,6,n,"src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSS.java"
69,51,14,6,0,0,0,0.00433432501541037,3,0,3,0.333333333333333,3323,553,2531,44,4,3,n,"src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Label.java"
6,1,1,3,0,0,0,0.00124944192940984,2,0,2,0.666666666666667,1229,409,1142,12,2,0,n,"src/main/org/apache/tools/ant/taskdefs/rmic/XNewRmic.java"
289,281,70,65,4,3,0,0.0313111458452008,11,10,1,0.338461538461538,3455,53,424,0,65,21,n,"src/main/org/apache/tools/ant/taskdefs/ExecTask.java"
347,325,130,34,1,1,0,0.00917639345589541,6,5,1,0.705882352941177,3177,93,821,0,34,7,n,"src/main/org/apache/tools/zip/ZipOutputStream.java"
43,8,10,5,0,0,0,0.000342572942220447,2,0,2,0.8,797,159,793,0,2,0,n,"src/main/org/apache/tools/ant/util/WorkerAnt.java"
23,3,0,2,0,0,0,0.000381457508586494,2,0,2,0.5,2523,1261,1808,715,1,1,n,"src/main/org/apache/tools/ant/util/TeeOutputStream.java"
96,28,25,4,0,0,0,0.00264767100021514,4,0,4,0.25,2456,614,2174,6,4,3,n,"src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCMkbl.java"
58,34,11,9,1,1,0,0.00174244421207813,3,0,3,0.555555555555556,2813,312,1256,0,9,1,n,"src/main/org/apache/tools/ant/input/DefaultInputHandler.java"
26,10,9,5,0,0,0,0.00269059615126236,5,0,5,0.2,2847,569,2360,9,2,2,n,"src/main/org/apache/tools/ant/taskdefs/Basename.java"
42,11,5,4,0,0,0,0.000424434356910859,2,0,2,0.75,1696,424,1551,1,4,0,n,"src/main/org/apache/tools/ant/taskdefs/optional/net/FTPConfigurator.java"
316,65,4,10,0,0,0,0.0032657630362716,3,1,2,0.5,2108,210,1284,2,8,2,n,"src/main/org/apache/tools/ant/types/RedirectorElement.java"
33,35,9,6,0,0,0,0.00288041676176655,4,3,1,0.5,2961,493,1151,113,6,1,n,"src/main/org/apache/tools/ant/taskdefs/optional/junit/Xalan2Executor.java"
