loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
20,0,0,1,0,0,4.68E-05,1,0,1,1,1725,1725,1725,1725,1,1,n,"src/main/org/apache/tools/bzip2/CBZip2InputStream.f/CL/1/CBZip2InputStream.c/MT/1/read(byte[]@int,int)"
3,0,0,1,0,0,3.41E-05,1,0,1,1,2426,2426,2426,2426,0,0,n,src/main/org/apache/tools/ant/types/PropertySet.f/CL/1/PropertySet.c/CL/1/BuiltinPropertySetName.c/MT/1/getValues()
3,1,1,2,0,0,0.000117327,2,0,2,0.5,2806,1403,2370,435,0,0,n,src/main/org/apache/tools/ant/taskdefs/optional/extension/ExtensionSet.f/CL/1/ExtensionSet.c/MT/1/toString()
3,0,0,1,0,0,6.66E-05,1,0,1,1,1686,1686,1686,1686,1,1,n,src/main/org/apache/tools/ant/types/resources/selectors/Exists.f/CL/1/Exists.c/MT/1/isSelected(Resource)
14,3,0,2,0,0,4.61E-05,1,0,1,1,1558,779,1023,534,2,1,n,src/main/org/apache/tools/ant/taskdefs/Untar.f/CL/1/Untar.c/MT/2/expandResource(Resource@File)
23,7,7,4,0,0,0.000269633,4,0,4,0.25,3177,794,992,356,3,3,n,"src/main/org/apache/tools/zip/AsiExtraField.f/CL/1/AsiExtraField.c/MT/1/parseFromLocalFileData(byte[]@int,int)"
3,0,0,1,0,0,4.96E-05,1,0,1,1,129,129,129,129,0,0,n,src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTask.f/CL/1/FTPTask.c/MT/1/setUserid(String)
16,0,0,1,0,0,1.25E-05,1,0,1,1,172,172,172,172,1,0,n,src/main/org/apache/tools/ant/taskdefs/Zip.f/CL/1/Zip.c/MT/4/selectOutOfDateResources(Resource[]@FileNameMapper)
4,0,0,1,0,0,2.88E-05,1,0,1,1,1746,1746,1746,1746,1,0,n,src/main/org/apache/tools/ant/taskdefs/VerifyJar.f/CL/1/VerifyJar.c/CL/4/BufferingOutputFilter.c/MT/1/chain(Reader)
3,0,0,1,0,0,0.0002417,1,0,1,1,3323,3323,3323,3323,0,0,n,src/main/org/apache/tools/ant/taskdefs/Rmic.f/CL/1/Rmic.c/MT/1/setIiop(boolean)
3,0,0,1,0,0,2.52E-05,1,0,1,1,2820,2820,2820,2820,0,0,n,src/main/org/apache/tools/ant/taskdefs/optional/net/SetProxy.f/CL/1/SetProxy.c/MT/1/setNonProxyHosts(String)
7,0,0,1,0,0,1.53E-05,1,0,1,1,2880,2880,2880,2880,1,0,n,src/main/org/apache/tools/ant/taskdefs/Javac.f/CL/1/Javac.c/MT/1/setSourcepath(Path)
3,0,0,1,0,0,3.84E-05,1,0,1,1,1558,1558,1558,1558,1,1,n,src/main/org/apache/tools/ant/taskdefs/Copy.f/CL/1/Copy.c/MT/4/getKeyFile(File)
11,8,0,2,0,0,8.99E-05,2,0,2,0.5,1686,843,1187,499,2,2,n,src/main/org/apache/tools/ant/types/ZipFileSet.f/CL/1/ZipFileSet.c/MT/1/getEncoding()
3,0,0,1,0,0,2.47E-05,1,0,1,1,1038,1038,1038,1038,1,1,n,src/main/org/apache/tools/ant/taskdefs/Truncate.f/CL/1/Truncate.c/MT/1/setCreate(boolean)
3,0,0,1,0,0,0.000202933,1,0,1,1,3406,3406,3406,3406,1,0,n,src/main/org/apache/tools/ant/taskdefs/ExecuteOn.f/CL/1/ExecuteOn.c/MT/1/setType(FileDirBoth)
3,0,0,1,0,0,0.001195906,1,0,1,1,3602,3602,3602,3602,1,0,n,src/main/org/apache/tools/ant/taskdefs/Property.f/CL/1/Property.c/MT/1/getValue()
32,25,3,10,1,1,0.000410352,5,2,3,0.4,2977,297,1210,18,10,3,n,src/main/org/apache/tools/ant/UnknownElement.f/CL/1/UnknownElement.c/MT/2/makeObject(UnknownElement@RuntimeConfigurable)
3,0,0,3,0,0,8.87E-05,2,0,2,0.666666667,2187,729,1118,454,2,0,n,src/main/org/apache/tools/ant/taskdefs/MacroDef.f/CL/1/MacroDef.c/CL/1/TemplateElement.c/MT/1/getDescription()
3,0,0,1,0,0,2.56E-05,1,0,1,1,1274,1274,1274,1274,0,0,n,src/main/org/apache/tools/ant/taskdefs/condition/HasMethod.f/CL/1/HasMethod.c/MT/1/setMethod(String)
21,1,1,4,0,0,0.000161206,2,0,2,0.75,1725,431,763,12,4,3,n,src/main/org/apache/tools/bzip2/CBZip2OutputStream.f/CL/1/CBZip2OutputStream.c/MT/4/blockSort()
12,4,2,3,0,0,0.00024918,3,0,3,0.333333333,3337,1112,2820,96,3,2,n,src/main/org/apache/tools/ant/taskdefs/optional/net/TelnetTask.f/CL/1/TelnetTask.c/CL/1/AntTelnetClient.c/MT/1/sendString(String@boolean)
3,1,1,2,0,0,0.000168167,2,0,2,0.5,3167,1583,2820,346,2,2,n,src/main/org/apache/tools/ant/taskdefs/optional/junit/SummaryJUnitResultFormatter.f/CL/1/SummaryJUnitResultFormatter.c/MT/1/setSystemError(String)
6,4,2,4,0,0,0.000123483,3,0,3,0.5,2354,588,1801,2,4,2,n,"src/main/org/apache/tools/ant/taskdefs/Execute.f/CL/1/Execute.c/CL/4/VmsCommandLauncher.c/MT/1/exec(Project@String[],String[])"
3,1,1,2,0,0,0.002198939,2,0,2,0.5,3619,1809,1831,1788,2,1,n,src/main/org/apache/tools/ant/DirectoryScanner.f/CL/1/DirectoryScanner.c/MT/1/setBasedir(File)
3,1,1,3,0,0,0.000144902,3,0,3,0.333333333,2456,818,1236,96,1,1,n,src/main/org/apache/tools/ant/types/optional/ScriptFilter.f/CL/1/ScriptFilter.c/MT/1/addText(String)
7,5,3,6,0,0,0.000371749,2,0,2,0.666666667,2863,477,2360,38,6,6,n,src/main/org/apache/tools/ant/taskdefs/Jar.f/CL/1/Jar.c/MT/1/setFilesetmanifest(FilesetManifestConfig)
3,1,1,2,0,0,0.000105579,2,0,2,0.5,2365,1182,2360,4,2,2,n,src/main/org/apache/tools/ant/types/selectors/SelectorUtils.f/CL/1/SelectorUtils.c/MT/1/hasWildcards(String)
3,1,1,2,0,0,2.58E-05,1,0,1,1,2046,1023,2046,0,2,0,n,src/main/org/apache/tools/ant/taskdefs/Definer.f/CL/1/Definer.c/CL/4/ResourceStack.c/MT/1/initialValue()
9,1,7,2,1,1,9.93E-05,2,0,2,0.5,1686,843,982,703,2,0,n,src/main/org/apache/tools/ant/types/resources/StringResource.f/CL/1/StringResource.c/MT/1/getOutputStream()
3,0,0,1,0,0,1.54E-05,1,0,1,1,2817,2817,2817,2817,0,0,n,src/main/org/apache/tools/ant/types/FlexInteger.f/CL/1/FlexInteger.c/MT/1/toString()
3,0,0,1,0,0,8.45E-05,1,0,1,1,2959,2959,2959,2959,0,0,n,proposal/sandbox/httptasks/src/main/org/apache/tools/ant/taskdefs/optional/http/HttpRequestParameter.f/CL/1/HttpRequestParameter.c/MT/1/toString()
6,1,1,2,0,0,0.000122037,2,0,2,0.5,1686,843,1545,141,2,2,n,src/main/org/apache/tools/ant/types/resources/ZipResource.f/CL/1/ZipResource.c/MT/1/setRefid(Reference)
3,1,1,2,0,0,0.000145312,2,0,2,0.5,2456,1228,2174,281,2,2,n,src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCMklabel.f/CL/1/CCMklabel.c/MT/1/setVOB(String)
3,0,0,1,0,0,0.000151099,1,0,1,1,3393,3393,3393,3393,0,1,n,src/main/org/apache/tools/ant/taskdefs/Javac.f/CL/1/Javac.c/MT/1/setVerbose(boolean)
3,0,0,1,0,0,9.48E-05,1,0,1,1,3167,3167,3167,3167,1,1,n,src/main/org/apache/tools/ant/taskdefs/optional/junit/PlainJUnitResultFormatter.f/CL/1/PlainJUnitResultFormatter.c/MT/1/setSystemOutput(String)
3,0,0,1,0,0,1.29E-05,1,0,1,1,1851,1851,1851,1851,0,0,n,src/main/org/apache/tools/ant/taskdefs/Parallel.f/CL/1/Parallel.c/CL/4/TaskRunnable.c/MT/3/isFinished()
3,0,0,1,0,0,0.000104034,1,0,1,1,3102,3102,3102,3102,1,0,n,src/main/org/apache/tools/ant/taskdefs/optional/NetRexxC.f/CL/1/NetRexxC.c/MT/1/setDestDir(File)
