loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
777,2543,838,84,7,6,0.127366395,8,6,2,0.297619048,2838,33,287,0,13,19,y,src/main/org/apache/tools/ant/taskdefs/cvslib
1001,3013,593,96,8,5,0.167035033,12,10,2,0.270833333,2860,29,426,0,4,14,y,src/main/org/apache/tools/ant/helper
353,530,39,12,0,0,0.029447324,3,1,2,0.5,1686,140,593,0,1,13,n,src/main/org/apache/tools/ant/types/resources/selectors
139,451,236,21,0,0,0.045717219,7,5,2,0.333333333,2978,141,930,0,0,5,n,src/main/org/apache/tools/ant/types/optional/depend
1865,5033,3756,31,8,4,0.059072277,8,7,1,0.451612903,2970,95,716,0,9,5,n,src/main/org/apache/tools/bzip2
271,485,119,18,1,1,0.081029874,7,6,1,0.388888889,2839,157,830,0,0,15,n,src/main/org/apache/tools/ant/taskdefs/optional/j2ee
297,1406,11,19,2,1,0.021417318,4,3,1,0.842105263,2718,143,1413,0,4,0,n,proposal/embed/src/java/org/apache/tools/ant/taskdefs
291,706,728,39,6,5,0.098566275,8,7,1,0.487179487,2615,67,524,0,0,3,y,src/main/org/apache/tools/ant/taskdefs/optional/unix
6656,262419,5897,4911,767,320,5.85558004,34,33,1,0.354917532,3643,0,62,0,263,444,y,src/main/org/apache/tools/ant
1112,3921,207,117,5,5,0.217900139,12,11,1,0.273504274,3075,26,303,0,0,33,y,src/main/org/apache/tools/ant/taskdefs/condition
674,151,0,3,0,0,0.00073099,1,0,1,1,2959,986,1776,176,0,0,n,proposal/sandbox/httptasks/src/main/org/apache/tools/ant/taskdefs/optional/http
196,710,0,7,0,0,0.013343161,4,2,2,0.428571429,865,123,291,0,0,0,y,src/main/org/apache/tools/ant/property
2456,6580,1047,131,9,7,0.145890987,8,6,2,0.396946565,1686,12,179,0,28,7,y,src/main/org/apache/tools/ant/types/resources
212,407,156,18,1,1,0.058112973,7,4,3,0.277777778,2845,158,669,0,0,5,y,src/main/org/apache/tools/ant/taskdefs/optional/splash
1000,3971,14,45,2,1,0.087360151,10,9,1,0.377777778,2818,62,476,0,5,16,n,src/main/org/apache/tools/ant/taskdefs/optional/extension
290,630,194,22,2,2,0.086594902,8,6,2,0.318181818,3173,144,1144,0,0,11,n,src/main/org/apache/tools/ant/taskdefs/optional/pvcs
89,332,5,8,0,0,0.020054607,2,1,1,0.875,1801,225,1519,0,0,1,n,src/main/org/apache/tools/ant/taskdefs/optional/native2ascii
450,5416,67,44,2,1,0.020537793,4,3,1,0.931818182,2718,61,1413,0,8,0,n,proposal/embed/src/java/org/apache/tools/ant
1812,5497,784,97,2,3,0.146280494,11,10,1,0.24742268,2861,29,451,0,3,25,y,src/main/org/apache/tools/ant/filters
101,1005,506,18,0,0,0.011256173,5,3,2,0.555555556,2978,165,1530,0,1,6,n,src/main/org/apache/tools/ant/util/depend
481,85,70,6,1,1,0.004978025,4,3,1,0.5,2441,406,1490,0,0,0,n,proposal/xdocs/src/org/apache/ant/xdoclet
1329,4000,780,78,13,11,0.11750783,8,7,1,0.564102564,2495,31,252,0,14,0,y,src/main/org/apache/tools/ant/taskdefs/optional/ssh
788,1889,508,111,13,5,0.260416628,15,14,1,0.513513514,3278,29,201,0,0,34,n,src/main/org/apache/tools/ant/taskdefs/compilers
701,2008,807,50,8,6,0.134572677,11,10,1,0.28,2889,57,499,0,24,19,y,src/main/org/apache/tools/ant/taskdefs/email
86,244,5,5,0,0,0.014368359,4,0,4,0.4,2037,407,1804,4,0,0,n,src/main/org/apache/tools/ant/dispatch
357,144,140,8,0,0,0.037457961,3,1,2,0.5,3355,419,1801,1,0,36,y,src/main/org/apache/tools/ant/taskdefs/optional/depend/constantpool
