loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
33,17,14,6,1,1,0.008019146,3,1,2,0.5,143,23,63,0,6,1,y,src/java/org/apache/cassandra/service/WriteResponseHandler.java
0,0,0,1,0,0,0.003188787,1,0,1,1,344,344,344,344,1,0,n,src/java/org/apache/cassandra/service/DigestMismatchException.java
88,132,20,23,5,2,0.020275813,2,0,2,0.565217391,344,14,137,0,23,3,y,src/java/org/apache/cassandra/config/CFMetaData.java
18,1,1,2,0,0,0.001102737,1,0,1,1,2,1,2,0,2,0,y,src/java/org/apache/cassandra/db/migration/AddKeyspace.java
6,5,4,4,0,0,0.008103284,2,0,2,0.75,344,86,117,57,4,1,n,src/java/org/apache/cassandra/gms/IFailureDetector.java
4,0,0,1,0,0,0.001102737,1,0,1,1,2,2,2,2,1,0,n,src/java/org/apache/cassandra/db/DefinitionsAnnounceVerbHandler.java
393,390,282,89,40,17,0.080167716,4,3,1,0.898876404,344,3,35,0,89,12,y,src/java/org/apache/cassandra/service/StorageProxy.java
251,18,20,3,0,0,0.003879523,2,0,2,0.666666667,69,23,36,2,3,1,n,interface/thrift/gen-java/org/apache/cassandra/thrift/SlicePredicate.java
6,4,16,4,1,1,0.004434932,2,0,2,0.75,262,65,175,15,4,1,n,src/java/org/apache/cassandra/db/marshal/BytesType.java
7,0,0,1,0,0,0,1,0,1,1,59,59,59,59,0,0,n,src/java/org/apache/cassandra/service/EmbeddedCassandraService.java
15,0,0,1,0,0,0.001161085,1,0,1,1,337,337,337,337,1,1,n,src/java/org/apache/cassandra/utils/BoundedStatsDeque.java
25,5,8,3,0,0,0.006988207,2,0,2,0.666666667,344,114,174,2,3,1,n,src/java/org/apache/cassandra/gms/GossipDigestAckMessage.java
2,0,0,1,0,0,0.001320404,1,0,1,1,205,205,205,205,0,0,n,contrib/property_snitch/src/java/org/apache/cassandra/locator/PropertyFileEndPointSnitchMBean.java
31,30,50,16,5,3,0.020585975,3,2,1,0.8125,344,21,97,0,16,1,y,src/java/org/apache/cassandra/service/QuorumResponseHandler.java
1,1,1,2,0,0,0.001975014,1,0,1,1,272,136,272,0,2,1,n,src/java/org/apache/cassandra/db/filter/SimpleAbstractColumnIterator.java
58,0,0,1,0,0,0.000952611,1,0,1,1,169,169,169,169,0,0,n,contrib/circuit/src/org/apache/cassandra/contrib/circuit/RingPanel.java
15,8,7,8,0,0,0.013931178,2,0,2,0.75,344,43,107,0,8,2,y,src/java/org/apache/cassandra/net/ResponseVerbHandler.java
56,56,29,14,3,1,0.018386186,1,0,1,1,344,24,119,0,14,3,n,src/java/org/apache/cassandra/dht/OrderPreservingPartitioner.java
91,7,5,3,0,0,0.005747779,2,0,2,0.666666667,77,25,30,19,3,0,n,src/java/org/apache/cassandra/utils/ExpiringMap.java
