loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
5,0,0,1,0,0,0,0.000172688390959058,1,0,1,1,59,59,59,59,1,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/describe_ring_args.c/MT/1/setKeyspaceIsSet(boolean)"
3,0,0,1,0,0,0,0.000154481181700263,1,0,1,1,2,2,2,2,1,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/KsDef.f/CL/1/KsDef.c/MT/1/isSetReplication_factor()"
5,0,0,1,0,0,0,0.000154481181700263,1,0,1,1,2,2,2,2,1,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.f/CL/1/CfDef.c/MT/1/setCommentIsSet(boolean)"
3,0,0,1,0,0,0,0.000154481181700263,1,0,1,1,2,2,2,2,1,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/system_rename_column_family_args.c/MT/1/getKeyspace()"
5,1,1,3,2,1,0,0.000482353477009223,1,0,1,1,141,47,77,10,3,0,n,"src/java/org/apache/cassandra/db/RangeSliceCommand.f/CL/1/RangeSliceCommand.c/MT/1/getMessage()"
6,1,1,3,0,0,0,0.000464020878654529,2,0,2,0.666666666666667,272,90,259,2,3,2,n,"src/java/org/apache/cassandra/db/ColumnFamily.f/CL/1/ColumnFamily.c/MT/1/cloneMeShallow()"
5,0,0,1,0,0,0,0.000283522198085133,1,0,1,1,69,69,69,69,1,0,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.f/CL/1/AuthorizationException.c/CL/1/_Fields.c/MT/1/findByThriftIdOrThrow(int)"
3,0,0,1,0,0,0,0.000283522198085133,1,0,1,1,69,69,69,69,1,0,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/NotFoundException.f/CL/1/NotFoundException.c/MT/1/getFieldValue(int)"
3,0,0,1,0,0,0,0.000154481181700263,1,0,1,1,2,2,2,2,1,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/KsDef.f/CL/1/KsDef.c/MT/1/unsetName()"
44,12,8,2,0,0,0,0.000429087098653282,2,0,2,0.5,69,34,38,31,2,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/multiget_args.c/MT/1/compareTo(multiget_args)"
3,0,0,1,0,0,0,0.000172688390959058,1,0,1,1,59,59,59,59,1,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/describe_keyspaces_result.c/MT/1/getSuccessIterator()"
17,3,5,2,0,0,0,0.000438003379785396,2,0,2,0.5,69,34,66,2,1,1,n,"src/java/org/apache/cassandra/thrift/CassandraServer.f/CL/1/CassandraServer.c/MT/1/describe_keyspace(String)"
3,0,0,1,0,0,0,0.000283522198085133,1,0,1,1,69,69,69,69,1,0,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/get_slice_args.c/MT/1/isSetKeyspace()"
44,12,8,2,0,0,0,0.000429087098653282,2,0,2,0.5,69,34,38,31,2,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/get_slice_result.c/MT/1/compareTo(get_slice_result)"
3,0,0,1,0,0,0,0.000278236754534385,1,0,1,1,344,344,344,344,1,0,n,"src/java/org/apache/cassandra/db/SuperColumn.f/CL/1/SuperColumn.c/MT/1/value()"
9,0,0,1,0,0,0,0.000133392682695024,1,0,1,1,294,294,294,294,0,1,n,"src/java/org/apache/cassandra/utils/BitSetSerializer.f/CL/1/BitSetSerializer.c/MT/1/deserialize(DataInputStream)"
3,0,0,1,0,0,0,0.000154481181700263,1,0,1,1,2,2,2,2,1,1,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/system_drop_column_family_args.c/MT/1/unsetKeyspace()"
8,0,0,1,0,0,0,0.000131111032980877,1,0,1,1,57,57,57,57,0,0,n,"src/java/org/apache/cassandra/db/commitlog/CommitLogExecutorService.f/CL/3/CommitLogExecutorService.c/MT/1/execute(Runnable)"
3,0,0,1,0,0,0,0.000283522198085133,1,0,1,1,69,69,69,69,1,0,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/get_args.c/MT/1/clone()"
32,4,5,4,0,0,0,0.000497443140996031,3,0,3,0.5,157,39,73,14,3,2,n,"src/java/org/apache/cassandra/locator/DatacenterShardStategy.f/CL/1/DatacenterShardStategy.c/MT/4/loadEndPoints(TokenMetadata)"
3,0,0,1,0,0,0,0.000283522198085133,1,0,1,1,69,69,69,69,1,0,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/KeySlice.f/CL/1/KeySlice.c/MT/1/getFieldValue(int)"
3,0,0,1,0,0,0,0.000283522198085133,1,0,1,1,69,69,69,69,1,0,n,"interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.f/CL/1/Cassandra.c/CL/1/multiget_result.c/MT/1/isSetIre()"
