loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
570,1459,9886,111,19,7,0.87183308,5,4,1,0.855855856,344,3,23,0,39,26,y,src/java/org/apache/cassandra/net
481,659,127,13,3,1,0.124297834,3,1,2,0.615384615,100,7,54,0,5,1,y,src/java/org/apache/cassandra/io/util
129,112,96,8,2,2,0.11668979,1,0,1,1,217,27,57,0,0,1,y,contrib/bmt_example
90,5550,7889,172,49,15,1.401628218,5,4,1,0.918604651,344,2,17,0,139,44,y,src/java/org/apache/cassandra/io
2923,13730,15211,482,180,55,2.619160887,5,4,1,0.910788382,344,0,10,0,266,61,y,src/java/org/apache/cassandra/db
975,1353,1665,51,5,4,0.603808791,3,2,1,0.941176471,344,6,48,0,20,17,y,src/java/org/apache/cassandra/gms
222,16,22,5,0,0,0.050843858,3,0,3,0.6,169,33,57,6,0,1,n,contrib/circuit/src/org/apache/cassandra/contrib/circuit
791,1696,1214,8,0,0,0.068927438,2,1,1,0.875,35,4,20,0,2,0,y,src/java/org/apache/cassandra/io/sstable
616,1960,711,62,17,5,0.658223156,4,3,1,0.887096774,344,5,58,0,46,29,y,src/java/org/apache/cassandra/locator
469,1585,2018,87,30,10,0.980549388,5,4,1,0.896551724,344,3,24,0,27,21,y,src/java/org/apache/cassandra/dht
63,56,56,4,0,0,0.088437808,3,0,3,0.5,205,51,80,27,1,1,n,contrib/property_snitch/src/java/org/apache/cassandra/locator
87,88,53,8,0,0,0.038138822,2,1,1,0.875,80,10,38,0,0,3,y,src/java/org/apache/cassandra/auth
32,85,78,14,4,1,0.190806135,4,1,3,0.357142857,227,16,51,0,4,5,n,src/java/org/apache/cassandra/client
474,1260,1095,17,0,0,0.095029011,2,0,2,0.529411765,58,3,21,0,3,4,y,src/java/org/apache/cassandra/db/commitlog
902,3230,1453,92,12,6,0.895804434,6,4,2,0.717391304,344,3,35,0,44,32,y,src/java/org/apache/cassandra/tools
527,1800,1350,18,0,0,0.122219457,2,0,2,0.666666667,68,3,15,0,4,7,y,src/java/org/apache/cassandra/streaming
334,1407,413,51,18,5,0.434919613,3,2,1,0.960784314,272,5,33,0,36,9,y,src/java/org/apache/cassandra/db/filter
742,880,607,24,2,1,0.180336731,3,1,2,0.625,69,2,14,0,0,5,y,src/java/org/apache/cassandra/thrift
115,14,13,3,0,0,0.021461142,2,0,2,0.666666667,79,26,39,11,0,0,n,contrib/mutex/src/org/apache/cassandra/mutex
110,365,2810,26,1,1,0.335438703,3,2,1,0.884615385,344,13,93,0,12,14,y,src/java/org/apache/cassandra/concurrent
482,661,277,11,0,0,0.072727522,3,2,1,0.636363636,69,6,23,0,0,1,y,src/java/org/apache/cassandra/avro
32,2,2,2,0,0,0.071984052,1,0,1,1,344,172,174,169,0,2,n,src/java/org/apache/cassandra/net/sink
56,0,0,1,0,0,0.00151171,1,0,1,1,12,12,12,12,0,0,y,contrib/pig/src/java/org/apache/cassandra/hadoop/pig
530,1073,361,52,13,3,0.332594207,2,0,2,0.5,344,6,43,0,4,5,y,src/java/org/apache/cassandra/cli
67,211,107,12,0,0,0.094904167,2,1,1,0.916666667,80,6,28,0,2,0,n,src/java/org/apache/cassandra/cache
18771,35823,7724,11,3,1,0.064321121,3,1,2,0.545454545,69,6,16,0,5,0,y,interface/thrift/gen-java/org/apache/cassandra/thrift
303,642,224,10,0,0,0.042891619,4,2,2,0.4,55,5,20,0,2,0,y,src/java/org/apache/cassandra/hadoop
1989,7030,7650,348,103,41,2.361757565,6,5,1,0.853448276,344,0,12,0,180,39,y,src/java/org/apache/cassandra/service
131,284,107,15,2,1,0.155657282,3,2,1,0.866666667,262,17,90,0,5,5,n,src/java/org/apache/cassandra/db/marshal
1143,3328,3645,89,11,7,1.089887236,5,4,1,0.808988764,344,3,24,0,20,28,y,src/java/org/apache/cassandra/utils
19,25,14,8,0,0,0.065362222,2,0,2,0.625,125,15,35,0,0,2,n,contrib/client_only
31,0,0,1,0,0,0,1,0,1,1,55,55,55,55,0,0,y,contrib/javautils/src/main/java/org/apache/cassandra/contrib/utils/service
615,2413,963,124,11,5,1.172417352,4,2,2,0.693548387,344,2,20,0,21,33,y,src/java/org/apache/cassandra/config
80,51,21,5,1,1,0.040160018,3,0,3,0.6,55,11,27,0,0,0,y,contrib/word_count/src
278,49,40,4,0,0,0.007330816,1,0,1,1,2,0,2,0,0,0,y,src/java/org/apache/cassandra/db/migration
