loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
3,0,0,1,0,0,4.74E-05,1,0,1,1,677,677,677,677,0,0,n,providers/bundles/org.eclipse.ecf.provider.irc.ui/src/org/eclipse/ecf/internal/irc/ui/actions/WhoisAction.f/CL/1/WhoisAction.c/MT/2/getMessage(String)
8,0,0,1,0,0,6.40E-05,1,0,1,1,763,763,763,763,1,1,n,framework/bundles/org.eclipse.ecf.presence.ui/src/org/eclipse/ecf/presence/ui/chatroom/ChatRoomManagerView.f/CL/1/ChatRoomManagerView.c/MT/1/joinRoom(IChatRoomInfo@String)
3,0,0,1,0,0,0.000172824,1,0,1,1,1145,1145,1145,1145,1,1,n,protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/packet/MUCAdmin.f/CL/1/MUCAdmin.c/CL/1/Item.c/MT/1/getJid()
1,0,0,1,0,0,4.38E-05,1,0,1,1,126,126,126,126,0,0,n,framework/bundles/org.eclipse.ecf.presence/src/org/eclipse/ecf/presence/search/IRestriction.f/IN/1/IRestriction.c/MT/1/ne(String@String)
1,0,0,1,0,0,5.23E-05,1,0,1,1,104,104,104,104,1,1,n,providers/bundles/org.eclipse.ecf.provider.jmdns/jmdns/javax/jmdns/ServiceTypeListener.f/IN/1/ServiceTypeListener.c/MT/3/serviceTypeAdded(ServiceEvent)
41,0,0,1,0,0,6.15E-05,1,0,1,1,172,172,172,172,0,0,n,framework/bundles/org.eclipse.ecf.discovery.ui.properties.tabbed/src/org/eclipse/ecf/internal/discovery/ui/ServiceTypePropertySection.f/CL/1/ServiceTypePropertySection.c/MT/1/createControls(Composite@TabbedPropertySheetPage)
3,0,0,1,0,0,0.000819512,1,0,1,1,1616,1616,1616,1616,1,1,n,framework/bundles/org.eclipse.ecf.provider/src/org/eclipse/ecf/provider/generic/SOConnector.f/CL/1/SOConnector.c/MT/1/enqueue(ISharedObjectEvent[])
4,0,0,1,0,0,3.65E-05,1,0,1,1,676,676,676,676,0,0,n,examples/bundles/org.eclipse.ecf.examples.provider.trivial/src/org/eclipse/ecf/internal/examples/provider/trivial/Activator.f/CL/1/Activator.c/MT/1/start(BundleContext)
3,2,2,2,0,0,0.000177582,1,0,1,1,1044,522,920,123,2,2,n,"providers/bundles/org.eclipse.ecf.provider.remoteservice/src/org/eclipse/ecf/provider/remoteservice/generic/RemoteCallImpl.f/CL/1/RemoteCallImpl.c/MT/1/createRemoteCall(String@String,Object[])"
4,3,3,2,0,0,4.09E-05,1,0,1,1,426,213,426,0,1,1,n,framework/bundles/org.eclipse.ecf.ssl/src/org/eclipse/ecf/internal/ssl/ECFTrustManager.f/CL/1/ECFTrustManager.c/MT/1/start(BundleContext)
41,7,7,2,0,0,0.000130714,1,0,1,1,855,427,572,283,0,0,n,providers/bundles/org.eclipse.ecf.provider.rss/src/org/eclipse/ecf/internal/provider/rss/container/RssServerSOContainer.f/CL/1/RssServerSOContainer.c/MT/1/main(String[])
20,3,3,2,0,0,0.00011393,2,0,2,0.5,417,208,280,137,2,1,n,protocols/bundles/ch.ethz.iks.r_osgi.remote/src/main/java/ch/ethz/iks/r_osgi/impl/RemoteOSGiServiceImpl.f/CL/3/RemoteOSGiServiceImpl.c/MT/3/notifyRemoteServiceListeners(RemoteServiceEvent)
4,0,0,1,0,0,9.36E-05,1,0,1,1,897,897,897,897,0,0,n,framework/bundles/org.eclipse.ecf.presence/src/org/eclipse/ecf/presence/roster/RosterEntry.f/CL/1/RosterEntry.c/MT/1/add(IRosterGroup)
1,0,0,1,0,0,0,1,0,1,1,785,785,785,785,0,0,n,framework/bundles/org.eclipse.ecf.presence/src/org/eclipse/ecf/presence/history/IHistory.f/IN/1/IHistory.c/MT/1/deleteHistoryLines(Date@Date)
14,0,0,1,0,0,0.000172824,1,0,1,1,1145,1145,1145,1145,1,1,y,protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smack/filter/AndFilter.f/CL/1/AndFilter.c/MT/1/addFilter(PacketFilter)
3,0,0,1,0,0,0.000172824,1,0,1,1,1145,1145,1145,1145,1,1,n,protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smack/debugger/LiteDebugger.f/CL/1/LiteDebugger.c/MT/1/getWriterListener()
10,3,5,4,2,2,0.000192971,2,0,2,0.75,775,193,455,21,4,1,n,protocols/bundles/org.eclipse.ecf.protocol.msn/src/org/eclipse/ecf/protocol/msn/ChatSession.f/CL/1/ChatSession.c/MT/1/invite(String)
3,1,1,2,0,0,0.000126,1,0,1,1,951,475,951,0,1,1,n,framework/bundles/org.eclipse.ecf.sharedobject/src/org/eclipse/ecf/core/sharedobject/SharedObjectMsgEventProcessor.f/CL/1/SharedObjectMsgEventProcessor.c/MT/2/processSharedObjectMsgEvent(ISharedObjectMessageEvent)
33,1,1,2,0,0,4.38E-05,2,0,2,0.5,126,63,126,0,0,0,n,providers/bundles/org.eclipse.ecf.provider.xmpp/src/org/eclipse/ecf/internal/provider/xmpp/search/XMPPUserSearchManager.f/CL/1/XMPPUserSearchManager.c/MT/1/search(ICriteria)
