loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
18,1,1,2,0,0,0.000365083,2,0,2,0.5,318,159,260,58,1,0,n,solr/src/java/org/apache/solr/handler/JsonUpdateRequestHandler.java
11,0,0,1,0,0,7.14E-05,1,0,1,1,325,325,325,325,0,0,n,modules/analysis/common/src/java/org/apache/lucene/analysis/id/IndonesianStemFilter.java
10,0,1,2,0,0,0.00075742,2,0,2,0.5,376,188,327,49,2,1,n,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/NoTokenFoundQueryNode.java
26,5,8,4,0,0,0.00090468,3,0,3,0.5,376,94,221,1,3,1,n,solr/src/java/org/apache/solr/schema/UUIDField.java
212,251,81,12,2,1,0.00156654,5,4,1,0.583333333,376,31,99,0,12,1,n,solr/src/java/org/apache/solr/search/MissingStringLastComparatorSource.java
10,0,0,1,0,0,0.000345396,1,0,1,1,84,84,84,84,1,0,n,modules/benchmark/src/java/org/apache/lucene/benchmark/quality/utils/SimpleQQParser.java
25,0,1,2,0,0,0.00075742,2,0,2,0.5,376,188,327,49,2,1,n,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/config/MultiFieldAttributeImpl.java
31,5,12,2,0,0,0.000644324,1,0,1,1,328,164,258,69,1,0,n,modules/analysis/common/src/java/org/apache/lucene/analysis/ar/ArabicStemmer.java
0,30,18,10,0,0,0.001831399,5,3,2,0.5,376,37,217,0,10,4,n,lucene/src/java/org/apache/lucene/index/SegmentWriteState.java
57,0,0,1,0,0,0.00044641,1,0,1,1,376,376,376,376,1,1,n,lucene/contrib/db/bdb/src/java/org/apache/lucene/store/db/DbIndexInput.java
29,3,3,3,0,0,0.000688425,2,0,2,0.666666667,220,73,94,58,2,1,n,solr/src/java/org/apache/solr/search/MutableValue.java
55,0,0,1,0,0,0.00044641,1,0,1,1,376,376,376,376,1,1,n,lucene/contrib/spatial/src/java/org/apache/lucene/spatial/geometry/shape/Rectangle.java
