loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
10,1,1,2,0,0,0,8.19359502730618e-05,2,0,2,0.5,376,188,296,80,2,1,n,"solr/src/common/org/apache/solr/common/util/JavaBinCodec.f/CL/1/JavaBinCodec.c/MT/1/readSolrDocumentList(FastInputStream)"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/handler/component/ShardResponse.f/CL/1/ShardResponse.c/MT/3/setShard(String)"
3,1,1,2,0,0,0,0.000103366168816605,2,0,2,0.5,376,188,318,58,2,1,n,"solr/src/java/org/apache/solr/schema/DateField.f/CL/3/DateFieldSource.c/MT/1/equals(Object)"
6,0,0,1,0,0,0,3.43527304142374e-05,1,0,1,1,368,368,368,368,1,0,n,"lucene/contrib/highlighter/src/java/org/apache/lucene/search/vectorhighlight/FieldQuery.f/CL/1/FieldQuery.c/CL/1/QueryPhraseMap.c/MT/4/markTerminal(int@float)"
55,19,17,6,1,1,0,0.000118325346140507,3,2,1,0.666666666666667,376,62,276,0,6,0,n,"lucene/src/java/org/apache/lucene/index/ConcurrentMergeScheduler.f/CL/1/ConcurrentMergeScheduler.c/MT/1/merge(IndexWriter)"
16,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/src/java/org/apache/lucene/util/OpenBitSet.f/CL/1/OpenBitSet.c/MT/1/flip(long@long)"
3,0,0,1,0,0,0,3.95033212146462e-05,1,0,1,1,83,83,83,83,1,1,n,"solr/src/java/org/apache/solr/search/function/DocFreqValueSource.f/CL/1/DocFreqValueSource.c/MT/1/createWeight(Map@IndexSearcher)"
3,0,0,1,0,0,0,3.87714571627585e-05,1,0,1,1,313,313,313,313,0,0,n,"modules/analysis/icu/src/java/org/apache/lucene/analysis/icu/segmentation/BreakIteratorWrapper.f/CL/3/BreakIteratorWrapper.c/CL/3/RBBIWrapper.c/MT/3/next()"
4,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/common/org/apache/solr/common/util/RTimer.f/CL/1/RTimer.c/MT/1/getTime()"
34,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/analysis/ReversedWildcardFilterFactory.f/CL/1/ReversedWildcardFilterFactory.c/MT/1/shouldReverse(String)"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/PhraseSlopQueryNode.f/CL/1/PhraseSlopQueryNode.c/MT/1/getChild()"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/solrj/org/apache/solr/client/solrj/impl/LBHttpSolrServer.f/CL/1/LBHttpSolrServer.c/MT/1/getHttpClient()"
34,0,0,1,0,0,0,5.29152395148157e-05,1,0,1,1,328,328,328,328,0,0,n,"modules/analysis/common/src/java/org/apache/lucene/analysis/pattern/PatternTokenizer.f/CL/1/PatternTokenizer.c/MT/1/incrementToken()"
24,0,0,1,0,0,0,3.57382939938676e-05,1,0,1,1,68,68,68,68,1,1,n,"lucene/src/java/org/apache/lucene/index/codecs/pulsing/PulsingPostingsReaderImpl.f/CL/1/PulsingPostingsReaderImpl.c/MT/1/docsAndPositions(FieldInfo@BlockTermState,Bits,DocsAndPositionsEnum)"
16,0,0,1,0,0,0,5.29152395148157e-05,1,0,1,1,328,328,328,328,0,0,n,"modules/analysis/common/src/java/org/tartarus/snowball/ext/FrenchStemmer.f/CL/1/FrenchStemmer.c/MT/4/r_un_double()"
3,0,0,1,0,0,0,2.83234528149971e-05,1,0,1,1,282,282,282,282,0,0,n,"lucene/src/java/org/apache/lucene/util/packed/Direct8.f/CL/1/Direct8.c/MT/1/get(int)"
3,0,0,1,0,0,0,3.19268217739436e-05,1,0,1,1,107,107,107,107,0,0,n,"lucene/src/java/org/apache/lucene/util/automaton/fst/FST.f/CL/1/FST.c/MT/1/getInputType()"
37,0,0,1,0,0,0,5.29152395148157e-05,1,0,1,1,328,328,328,328,0,0,n,"modules/analysis/common/src/java/org/tartarus/snowball/ext/SpanishStemmer.f/CL/1/SpanishStemmer.c/MT/4/r_postlude()"
8,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/src/java/org/apache/lucene/index/IndexWriter.f/CL/1/IndexWriter.c/MT/3/getNextMerge()"
11,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/handler/SnapPuller.f/CL/1/SnapPuller.c/MT/4/createHttpClient(String@String)"
1,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/analysis/TokenizerChain.f/CL/1/TokenizerChain.c/MT/1/getCharFilterFactories()"
18,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/src/java/org/apache/lucene/queryParser/QueryParser.f/CL/1/QueryParser.c/MT/4/jj_rescan_token()"
3,0,0,1,0,0,0,4.77321584858217e-05,1,0,1,1,84,84,84,84,0,0,n,"modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CommitIndexTask.f/CL/1/CommitIndexTask.c/MT/1/supportsParams()"
11,1,1,2,1,1,0,6.49451522058321e-05,2,0,2,0.5,376,188,342,34,2,0,n,"lucene/src/java/org/apache/lucene/util/SmallFloat.f/CL/1/SmallFloat.c/MT/1/floatToByte315(float)"
13,3,1,2,0,0,0,8.50503438326354e-05,2,0,2,0.5,376,188,275,101,2,2,n,"lucene/src/java/org/apache/lucene/index/IndexFileDeleter.f/CL/3/IndexFileDeleter.c/MT/1/deletePendingFiles()"
19,9,8,2,0,0,0,7.74851984615314e-05,2,0,2,0.5,376,188,314,62,1,1,n,"lucene/src/java/org/apache/lucene/document/DateTools.f/CL/1/DateTools.c/MT/1/stringToDate(String)"
1,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/search/function/DocValues.f/CL/1/DocValues.c/MT/1/toString(int)"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/processors/MatchAllDocsQueryNodeProcessor.f/CL/1/MatchAllDocsQueryNodeProcessor.c/MT/2/setChildrenOrder(List<QueryNode>)"
26,1,1,3,1,1,0,9.15152842141092e-05,3,0,3,0.333333333333333,376,125,165,57,3,0,n,"lucene/src/java/org/apache/lucene/queryParser/QueryParser.f/CL/1/QueryParser.c/MT/1/Query(String)"
1,0,0,1,0,0,0,3.26140428050402e-05,1,0,1,1,185,185,185,185,1,1,n,"lucene/src/java/org/apache/lucene/search/cache/CachedArray.f/CL/1/CachedArray.c/CL/1/DoubleValues.c/MT/1/getRawArray()"
20,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/webapp/src/org/apache/solr/servlet/SolrDispatchFilter.f/CL/1/SolrDispatchFilter.c/MT/4/handleAdminRequest(HttpServletRequest@ServletResponse,SolrRequestHandler,SolrQueryRequest)"
55,0,0,1,0,0,0,2.32593151083095e-05,1,0,1,1,212,212,212,212,0,0,n,"modules/analysis/common/src/java/org/tartarus/snowball/ext/ArmenianStemmer.f/CL/1/ArmenianStemmer.c/MT/1/stem()"
3,0,0,1,0,0,0,3.36709946902328e-05,1,0,1,1,82,82,82,82,1,1,n,"lucene/src/java/org/apache/lucene/index/SegmentReader.f/CL/1/SegmentReader.c/MT/1/getTopReaderContext()"
3,0,0,1,0,0,0,5.29152395148157e-05,1,0,1,1,328,328,328,328,0,0,n,"modules/analysis/common/src/java/org/apache/lucene/analysis/en/PorterStemmer.f/CL/3/PorterStemmer.c/MT/1/stem(char[]@int)"
1,0,0,1,0,0,0,3.12476613327191e-05,1,0,1,1,134,134,134,134,0,0,n,"lucene/src/java/org/apache/lucene/search/MaxNonCompetitiveBoostAttribute.f/IN/1/MaxNonCompetitiveBoostAttribute.c/MT/1/setCompetitiveTerm(BytesRef)"
4,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/builders/FuzzyQueryNodeBuilder.f/CL/1/FuzzyQueryNodeBuilder.c/MT/1/build(QueryNode)"
35,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/common/org/apache/solr/common/util/StrUtils.f/CL/1/StrUtils.c/MT/1/splitSmart(String@String,boolean)"
1,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/config/FuzzyAttribute.f/IN/1/FuzzyAttribute.c/MT/1/getFuzzyMinSimilarity()"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/instantiated/src/java/org/apache/lucene/store/instantiated/InstantiatedIndexWriter.f/CL/1/InstantiatedIndexWriter.c/MT/1/docCount()"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/PhraseSlopQueryNode.f/CL/1/PhraseSlopQueryNode.c/MT/1/getValue()"
3,0,0,1,0,0,0,4.15442623530213e-05,1,0,1,1,357,357,357,357,1,1,n,"lucene/src/java/org/apache/lucene/util/BytesRef.f/CL/1/BytesRef.c/MT/1/endsWith(BytesRef)"
4,0,3,2,0,0,0,7.70811615984213e-05,2,0,2,0.5,376,188,293,83,2,1,n,"lucene/src/java/org/apache/lucene/index/MultiReader.f/CL/1/MultiReader.c/MT/2/doSetNorm(int@String,byte)"
27,0,0,1,0,0,0,4.77321584858217e-05,1,0,1,1,84,84,84,84,0,0,n,"modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DocMaker.f/CL/1/DocMaker.c/MT/1/makeDocument(int)"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/handler/admin/CoreAdminHandler.f/CL/1/CoreAdminHandler.c/MT/1/init(NamedList)"
1,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/analysis/TokenizerFactory.f/IN/1/TokenizerFactory.c/MT/1/init(Map<String@String>)"
72,0,0,1,0,0,0,5.29152395148157e-05,1,0,1,1,328,328,328,328,0,0,n,"modules/analysis/common/src/java/org/tartarus/snowball/ext/RomanianStemmer.f/CL/1/RomanianStemmer.c/MT/1/stem()"
8,0,0,1,0,0,0,4.77321584858217e-05,1,0,1,1,84,84,84,84,0,0,n,"modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DocMaker.f/CL/1/DocMaker.c/MT/2/getDocState()"
23,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/src/java/org/apache/lucene/index/SegmentReader.f/CL/1/SegmentReader.c/CL/3/Norm.c/MT/1/clone()"
4,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/StandardQueryParser.f/CL/1/StandardQueryParser.c/MT/1/getLocale()"
33,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/db/bdb/src/java/org/apache/lucene/store/db/File.f/CL/1/File.c/MT/2/delete(DbDirectory)"
11,0,0,1,0,0,0,3.11570989127052e-05,1,0,1,1,329,329,329,329,1,1,n,"lucene/src/java/org/apache/lucene/util/automaton/Transition.f/CL/1/Transition.c/CL/4/CompareByMinMaxThenDestSingle.c/MT/1/compare(Transition@Transition)"
4,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/spatial/src/java/org/apache/lucene/spatial/geometry/shape/Point2D.f/CL/1/Point2D.c/MT/1/set(Point2D)"
4,0,0,1,0,0,0,1.89695927706853e-05,1,0,1,1,185,185,185,185,1,0,n,"solr/src/java/org/apache/solr/schema/LatLonType.f/CL/3/SpatialDistanceQuery.c/CL/2/SpatialWeight.c/MT/1/sumOfSquaredWeights()"
26,2,2,4,0,0,0,0.000134086988955824,4,0,4,0.25,376,94,257,12,2,1,n,"solr/src/java/org/apache/solr/schema/BinaryField.f/CL/1/BinaryField.c/MT/1/createField(SchemaField@Object,float)"
1,0,0,1,0,0,0,4.15442623530213e-05,1,0,1,1,357,357,357,357,1,1,n,"lucene/src/java/org/apache/lucene/index/codecs/sep/IntIndexOutput.f/CL/1/IntIndexOutput.c/MT/1/write(int)"
10,0,0,1,0,0,0,3.02676740768081e-05,1,0,1,1,353,353,353,353,0,0,n,"lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/surround/parser/QueryParserTokenManager.f/CL/1/QueryParserTokenManager.c/MT/4/jjMoveStringLiteralDfa0_1()"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/src/java/org/apache/lucene/store/SimpleFSDirectory.f/CL/1/SimpleFSDirectory.c/CL/2/SimpleFSIndexInput.c/MT/1/length()"
3,0,0,1,0,0,0,4.77321584858217e-05,1,0,1,1,84,84,84,84,0,0,n,"modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/FlushReaderTask.f/CL/1/FlushReaderTask.c/MT/1/supportsParams()"
1,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/search/DocSet.f/IN/1/DocSet.c/MT/1/size()"
4,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"lucene/contrib/lucli/src/java/lucli/Lucli.f/CL/1/Lucli.c/MT/4/usage()"
4,0,0,1,0,0,0,5.29152395148157e-05,1,0,1,1,328,328,328,328,0,0,n,"modules/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/WordDelimiterFilter.f/CL/1/WordDelimiterFilter.c/CL/3/WordDelimiterConcatenation.c/MT/3/clear()"
3,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/util/NumberUtils.f/CL/1/NumberUtils.c/MT/1/float2sortableStr(String)"
3,3,1,2,0,0,0,8.48870401915233e-05,2,0,2,0.5,376,188,281,95,1,1,n,"solr/src/java/org/apache/solr/response/TextResponseWriter.f/CL/1/TextResponseWriter.c/MT/1/writeArray(String@Object[])"
3,0,0,1,0,0,0,2.45031746996021e-05,1,0,1,1,65,65,65,65,1,0,n,"lucene/src/java/org/apache/lucene/index/FieldsReader.f/CL/1/FieldsReader.c/MT/4/skipField()"
29,11,24,2,0,0,0,6.9588482200072e-05,2,0,2,0.5,84,42,52,31,0,1,n,"modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/TrecContentSource.f/CL/1/TrecContentSource.c/MT/1/getNextDocData(DocData)"
3,0,0,1,0,0,0,4.15442623530213e-05,1,0,1,1,357,357,357,357,1,1,n,"lucene/src/java/org/apache/lucene/util/automaton/Automaton.f/CL/1/Automaton.c/MT/1/optional()"
5,3,1,3,0,0,0,0.000104300350249479,3,0,3,0.333333333333333,376,125,195,70,1,1,n,"lucene/src/java/org/apache/lucene/search/FieldComparator.f/CL/1/FieldComparator.c/CL/1/ByteComparator.c/MT/1/compareBottom(int)"
2,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/java/org/apache/solr/search/FunctionQParserPlugin.f/CL/1/FunctionQParserPlugin.c/MT/1/init(NamedList)"
3,0,0,1,0,0,0,4.15442623530213e-05,1,0,1,1,357,357,357,357,1,1,n,"lucene/src/java/org/apache/lucene/util/automaton/Transition.f/CL/1/Transition.c/MT/1/hashCode()"
32,0,0,1,0,0,0,4.02260345147486e-05,1,0,1,1,286,286,286,286,0,1,n,"solr/src/java/org/apache/solr/request/UnInvertedField.f/CL/3/NumberedTermsEnum.c/MT/1/skipTo(BytesRef)"
9,0,0,1,0,0,0,5.69465829240743e-05,1,0,1,1,376,376,376,376,1,1,n,"solr/src/common/org/apache/solr/common/params/SolrParams.f/CL/1/SolrParams.c/MT/1/getFieldInt(String@String)"
