loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
114,10,10,2,0,0,0.007278998,1,0,1,1,328,164,301,26,0,1,n,modules/analysis/common/src/java/org/apache/lucene/analysis/sinks
117,55,31,3,0,0,0.008900461,3,0,3,0.333333333,376,125,221,62,0,8,n,solr/src/java/org/apache/solr/util/plugin
135,31,14,5,0,0,0.013619903,4,0,4,0.4,376,75,223,17,0,2,n,solr/src/webapp/src/org/apache/solr/servlet/cache
450,29,26,4,1,1,0.0099276,3,0,3,0.5,376,94,257,19,0,0,n,solr/contrib/dataimporthandler/src/extras/main/java/org/apache/solr/handler/dataimport
53,20,23,6,0,0,0.013422711,2,1,1,0.833333333,328,54,182,0,0,2,n,modules/analysis/common/src/java/org/apache/lucene/analysis/tr
34,112,9,6,0,0,0.012359599,2,1,1,0.833333333,328,54,182,0,0,1,n,modules/analysis/common/src/java/org/apache/lucene/analysis/sv
6,0,0,1,0,0,0.004645679,1,0,1,1,376,376,376,376,0,1,n,lucene/contrib/db/bdb/src/java/com/sleepycat/db
61,339,156,10,0,0,0.024390517,2,1,1,0.9,328,32,93,0,0,4,n,modules/analysis/common/src/java/org/apache/lucene/analysis/fr
153,50,65,2,0,0,0.002462999,2,0,2,0.5,84,42,62,21,0,0,y,modules/benchmark/src/java/org/apache/lucene/benchmark/utils
517,258,538,11,1,1,0.018232995,6,5,1,0.363636364,376,34,151,0,0,15,n,lucene/src/java/org/apache/lucene/document
6397,20436,11604,151,18,10,0.101231426,10,8,2,0.264900662,376,2,19,0,65,47,y,lucene/src/java/org/apache/lucene/search
114,66,70,3,0,0,0.008317398,2,0,2,0.666666667,376,125,214,49,1,4,n,lucene/src/java/org/apache/lucene/messages
1812,1046,262,6,0,0,0.011332126,4,3,1,0.5,376,62,160,5,0,8,n,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser
314,165,8,8,0,0,0.017455867,2,1,1,0.875,328,41,119,0,0,2,n,modules/analysis/common/src/java/org/apache/lucene/analysis/en
69,38,31,5,0,0,0.002016499,3,0,3,0.6,313,62,130,0,0,2,n,modules/analysis/icu/src/java/org/apache/lucene/analysis/icu
596,171,113,5,0,0,0.010362807,2,0,2,0.8,328,65,152,3,0,0,n,modules/analysis/common/src/java/org/apache/lucene/analysis/charfilter
164,229,391,11,2,1,0.016768138,2,1,1,0.909090909,328,29,123,0,4,3,n,modules/analysis/common/src/java/org/apache/lucene/analysis/compound
261,78,1765,4,0,0,0.007647051,3,0,3,0.5,328,82,130,26,0,2,y,modules/analysis/common/src/java/org/apache/lucene/analysis/shingle
431,37,32,5,0,0,0.0152731,3,0,3,0.4,376,75,247,6,0,6,n,lucene/contrib/queries/src/java/org/apache/lucene/search/similar
90,25,25,3,0,0,0.006207703,3,0,3,0.333333333,84,28,62,0,2,2,n,modules/benchmark/src/java/org/apache/lucene/benchmark/quality/utils
100,34,64,3,0,0,0.010547187,1,0,1,1,328,109,182,26,0,4,n,modules/analysis/common/src/java/org/apache/lucene/analysis/payloads
140,6,6,2,0,0,0.006077002,1,0,1,1,328,164,270,58,0,0,n,modules/analysis/common/src/java/org/apache/lucene/analysis/pattern
50,32,24,5,0,0,0.009915245,2,0,2,0.8,328,65,119,8,0,1,n,modules/analysis/common/src/java/org/apache/lucene/analysis/th
945,65,111,7,1,1,0.013698228,2,1,1,0.857142857,328,46,150,0,0,0,n,modules/analysis/common/src/java/org/apache/lucene/analysis/compound/hyphenation
3,97135,51408,521,75,44,0.004645679,14,12,2,0.404990403,376,0,6,0,10,129,y,lucene/src/java/org/apache/lucene
155,931,9,8,0,0,0.013597484,2,1,1,0.875,328,41,100,0,0,1,n,modules/analysis/common/src/java/org/apache/lucene/analysis/pt
12,3,3,2,0,0,0.002482689,1,0,1,1,212,106,182,30,0,0,n,modules/analysis/common/src/java/org/apache/lucene/analysis/ca
83,101,208,9,0,0,0.022961963,1,0,1,1,328,36,138,0,3,2,n,modules/analysis/common/src/java/org/apache/lucene/analysis/ar
64,8,3,2,0,0,0.004995204,2,0,2,0.5,376,188,269,107,0,1,n,lucene/contrib/xml-query-parser/src/demo/java/org/apache/lucene/xmlparser/webdemo
130,46,62,5,0,0,0.013077222,1,0,1,1,328,65,182,0,0,1,n,modules/analysis/common/src/java/org/apache/lucene/analysis/cjk
3103,4626,2771,59,1,1,0.066924036,9,8,1,0.338983051,376,6,36,0,23,66,y,solr/src/java/org/apache/solr/schema
174,3,6,2,0,0,0.004069135,2,0,2,0.5,84,42,83,0,0,1,n,modules/benchmark/src/java/org/apache/lucene/benchmark/quality/trec
217,261,19,4,0,0,0.011478875,2,0,2,0.75,376,94,215,41,0,5,n,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/core/processors
24,0,0,1,0,0,0.001237885,1,0,1,1,82,82,82,82,0,0,n,modules/analysis/common/src/java/org/apache/lucene/analysis/gl
1062,1083,778,25,2,1,0.04654454,5,3,2,0.4,376,15,75,0,2,18,n,lucene/contrib/instantiated/src/java/org/apache/lucene/store/instantiated
3530,3129,1403,74,5,3,0.079594493,11,10,1,0.378378378,376,5,36,0,16,18,n,solr/src/java/org/apache/solr/handler/component
594,1956,624,26,1,3,0.008895286,7,7,0,0.192307692,376,14,71,0,0,15,n,solr/src/solrj/org/apache/solr/client/solrj
184,697,166,7,0,0,0.003142699,2,1,1,0.857142857,4,0,3,0,1,0,n,solr/src/java/org/apache/solr/response/transform
846,642,232,10,1,1,0.017354358,6,4,2,0.3,376,37,180,0,4,5,n,solr/src/solrj/org/apache/solr/client/solrj/response
4248,811,1122,21,1,1,0.024969389,5,3,2,0.428571429,376,17,97,0,4,1,n,solr/contrib/dataimporthandler/src/main/java/org/apache/solr/handler/dataimport
23,54,124,8,0,0,0.017427564,2,1,1,0.875,328,41,119,0,0,2,n,modules/analysis/common/src/java/org/apache/lucene/analysis/br
1010,2819,1453,26,1,1,0.033150161,7,5,2,0.346153846,357,13,44,0,11,13,n,lucene/src/java/org/apache/lucene/index/codecs/preflex
2517,10109,1560,30,2,1,0.018904972,4,1,3,0.466666667,357,11,99,0,9,5,y,lucene/src/java/org/apache/lucene/util/automaton
199,202,28,8,1,1,0.005418829,2,0,2,0.625,278,34,60,0,2,0,n,lucene/contrib/misc/src/java/org/apache/lucene/store
421,242,3,2,0,0,0.002368286,1,0,1,1,218,109,189,28,0,2,n,solr/src/java/org/apache/solr/spelling/suggest/jaspell
1697,2430,2101,9,0,0,0.006872301,4,2,2,0.555555556,107,11,31,0,3,0,y,lucene/src/java/org/apache/lucene/util/automaton/fst
23,29,48,8,0,0,0.019361372,2,1,1,0.875,328,41,119,0,0,2,n,modules/analysis/common/src/java/org/apache/lucene/analysis/bg
478,193,193,4,0,0,0.008308223,2,0,2,0.75,328,82,253,11,0,2,n,modules/analysis/common/src/java/org/apache/lucene/analysis/wikipedia
573,21,4,3,0,0,0.005847673,2,0,2,0.666666667,167,55,103,4,0,11,n,solr/src/common/org/apache/solr/common/cloud
112,511,448,10,0,0,0.014137832,3,0,3,0.5,368,36,70,0,5,6,n,lucene/contrib/queries/src/java/org/apache/lucene/search/regex
624,126,131,11,1,1,0.025134823,4,3,1,0.636363636,376,34,69,0,0,2,n,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/processors
582,162,515,18,1,1,0.021811313,6,4,2,0.388888889,376,20,179,0,0,0,n,solr/src/webapp/src/org/apache/solr/servlet
12,9,9,5,0,0,0.009689127,2,0,2,0.8,328,65,182,0,0,1,n,modules/analysis/common/src/java/org/apache/lucene/analysis/da
1512,16462,9777,99,13,7,0.038044493,9,7,2,0.525252525,357,3,32,0,41,43,y,lucene/src/java/org/apache/lucene/index/codecs
47,41,17,3,0,0,0.007385662,2,0,2,0.666666667,376,125,346,0,0,1,n,solr/src/java/org/apache/solr/util/xslt
103,29,42,4,0,0,0.010374098,2,0,2,0.75,328,82,177,20,0,2,y,modules/analysis/common/src/java/org/apache/lucene/analysis/query
27,50,117,7,0,0,0.013648829,3,2,1,0.714285714,328,46,119,0,3,2,n,modules/analysis/common/src/java/org/apache/lucene/analysis/snowball
3078,5919,4218,108,9,6,0.046817705,12,11,1,0.416666667,376,3,33,0,12,28,y,solr/src/java/org/apache/solr/handler
4636,24729,1780,94,5,6,0.066514824,10,7,3,0.234042553,376,4,26,0,19,39,y,lucene/src/java/org/apache/lucene/util
234,597,592,17,2,1,0.026009513,7,5,2,0.352941176,376,22,67,0,5,5,n,lucene/contrib/misc/src/java/org/apache/lucene/misc
23,183,9,6,0,0,0.012359599,2,1,1,0.833333333,328,54,182,0,0,1,n,modules/analysis/common/src/java/org/apache/lucene/analysis/fi
196,25,25,7,0,0,0.015356419,2,1,1,0.857142857,323,46,124,6,0,2,y,modules/analysis/common/src/java/org/apache/lucene/analysis/synonym
72,24,12,2,0,0,0.006196372,2,0,2,0.5,376,188,313,63,0,2,n,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/core/builders
656,33,15,4,0,0,0.005894328,2,0,2,0.75,167,41,100,3,0,4,n,solr/src/java/org/apache/solr/cloud
