loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
18,6,0,2,0,0,0.001873774,2,0,2,0.5,1376,688,1337,39,2,2,n,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AndExpression.java
14,0,1,2,0,0,0.000697363,2,0,2,0.5,449,224,409,39,2,1,n,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Type.java
326,128,213,12,4,1,0.013198478,5,3,2,0.5,1388,115,480,0,12,4,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassArgParser.java
177,9,55,4,0,0,0.001431858,1,0,1,1,498,124,392,0,3,1,n,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AbstractDomainObject.java
49,61,56,14,0,0,0.004710854,5,4,1,0.714285714,1367,97,514,0,11,7,n,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/JDBCFetchPlan.java
21,0,6,2,0,0,0.001873774,2,0,2,0.5,1376,688,1337,39,2,2,n,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Lit.java
3,0,0,1,0,0,0.001193396,1,0,1,1,1376,1376,1376,1376,1,1,n,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/EqualExpression.java
31,11,12,4,0,0,0.002196335,3,0,3,0.5,1367,341,1185,9,3,3,n,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotEqualExpression.java
97,18,11,5,0,0,0.00383385,3,0,3,0.6,1376,275,988,1,5,4,n,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/LocalManagedRuntime.java
36,4,1,3,0,0,0.001709649,2,0,2,0.666666667,1367,455,1157,91,3,3,n,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMapping.java
193,14,10,5,0,0,0.002490717,4,0,4,0.4,1367,273,649,9,5,4,n,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveFieldStrategy.java
8,0,6,2,0,0,0.001873774,2,0,2,0.5,1376,688,1337,39,2,2,n,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Null.java
0,0,0,1,0,0,0.000816807,1,0,1,1,1367,1367,1367,1367,1,1,n,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/Columns.java
36,18,11,2,0,0,0.000342273,1,0,1,1,437,218,402,35,2,1,n,openjpa-kernel/src/main/java/org/apache/openjpa/conf/SpecificationPlugin.java
9,6,4,3,0,0,0.005897363,2,0,2,0.666666667,1388,462,840,12,3,3,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/MetaDataParser.java
409,61,31,3,0,0,0.000365676,1,0,1,1,92,30,86,0,2,0,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/identifier/IdentifierUtilImpl.java
3,9,0,3,0,0,0.001998897,2,0,2,0.666666667,1376,458,1104,28,3,3,n,openjpa-kernel/src/main/java/org/apache/openjpa/util/UserException.java
18,0,0,1,0,0,0.000102692,1,0,1,1,1267,1267,1267,1267,1,1,n,openjpa-examples/src/main/java/hellojpa/Message.java
20,15,11,5,0,0,0.002552619,4,0,4,0.4,1367,273,688,49,5,3,n,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringLength.java
3,1,2,3,0,0,0.001145801,1,0,1,1,498,166,392,10,3,2,n,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/RangeExpression.java
16,0,2,2,0,0,0.002005444,1,0,1,1,1376,688,1373,2,2,1,n,openjpa-kernel/src/main/java/org/apache/openjpa/util/ObjectId.java
7,0,0,1,0,0,0.000816807,1,0,1,1,1367,1367,1367,1367,1,1,n,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCStringContains.java
382,5,2,3,1,1,0.000674567,3,0,3,0.333333333,1020,340,409,250,3,1,n,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingSerializer.java
471,65,45,12,1,1,0.00351682,10,10,0,0.166666667,1367,113,303,0,12,4,y,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java
25,8,5,6,0,0,0.009725211,3,1,2,0.5,1388,231,423,2,6,4,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/StringValue.java
4,4,3,3,0,0,0.009002459,1,0,1,1,1388,462,1376,2,3,3,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/MetaDataSerializer.java
39,4,1,2,0,0,0.001505785,2,0,2,0.5,1376,688,1197,179,1,1,n,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/HollowState.java
12,4,4,3,0,0,0.001116313,2,0,2,0.666666667,495,165,392,7,3,1,n,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/ArrayExpression.java
