loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
1790,4108,3616,29,7,3,0.101516698,2,1,1,0.931034483,800,27,219,0,19,19,y,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc
1249,3264,2148,84,21,10,0.510627265,9,7,2,0.345238095,1376,16,198,0,33,14,y,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql
457,1448,41,23,2,2,0.160217891,8,6,2,0.260869565,1376,59,562,0,0,17,n,openjpa-kernel/src/main/java/org/apache/openjpa/ee
2618,5703,14683,74,11,5,0.577244956,11,10,1,0.310810811,1388,18,152,0,24,73,y,openjpa-lib/src/main/java/org/apache/openjpa/lib/util
604,229,133,3,0,0,0.009518888,1,0,1,1,92,30,86,0,0,0,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/identifier
68,79,110,15,5,1,0.296804389,6,3,3,0.333333333,1388,92,537,0,0,4,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/ant
17565,24922,13111,469,85,44,1.582490147,16,15,1,0.243070362,1376,2,57,0,180,149,y,openjpa-kernel/src/main/java/org/apache/openjpa/kernel
470,306,555,18,3,1,0.323794518,7,6,1,0.388888889,1388,77,440,0,4,16,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/log
1771,3313,2138,101,23,7,0.766394443,11,9,2,0.326732673,1388,13,115,0,31,36,y,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf
1783,4128,1182,148,11,3,0.820466718,12,11,1,0.364864865,1376,9,102,0,11,39,y,openjpa-kernel/src/main/java/org/apache/openjpa/conf
65,0,0,1,0,0,0,1,0,1,1,213,213,213,213,0,0,n,openjpa-examples/src/main/java/embeddables
109,17,17,3,1,1,0.017770541,1,0,1,1,1248,416,1018,0,0,0,n,openjpa-examples/src/main/java/relations
4611,12825,7013,114,15,6,0.57821989,12,10,2,0.307017544,1367,11,147,0,35,71,y,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps
9350,49847,5572,538,103,44,1.766776838,15,14,1,0.369888476,1376,2,78,0,112,149,y,openjpa-persistence/src/main/java/org/apache/openjpa/persistence
7166,14884,4171,234,38,21,0.797154832,17,16,1,0.200854701,1367,5,48,0,35,97,y,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta
2,0,0,1,0,0,0.00270535,1,0,1,1,256,256,256,256,0,0,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/encryption
4628,5024,2319,86,20,7,0.527990235,14,13,1,0.26744186,1367,15,108,0,10,30,y,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema
230,4932,4784,31,7,3,0.071418545,2,1,1,0.935483871,800,25,219,0,0,28,y,openjpa-slice/src/main/java/org/apache/openjpa/slice
885,475,812,14,0,0,0.273160359,5,2,3,0.357142857,1388,99,442,0,3,64,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop
33,3,3,4,1,1,0.017770541,2,0,2,0.5,1267,316,688,5,0,0,n,openjpa-examples/src/main/java/hellojpa
1100,24,3,3,0,0,0.017643921,1,0,1,1,91,30,86,0,0,8,n,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier
181,509,85,21,0,0,0.076042437,4,3,1,0.571428571,334,15,169,0,0,2,y,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/validation
521,396,321,41,5,3,0.283907061,12,12,0,0.195121951,1367,33,203,0,3,21,y,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf
4094,6740,4805,31,8,2,0.423550212,9,8,1,0.387096774,1388,44,211,0,11,51,y,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc
1332,1149,663,39,8,3,0.309053453,7,6,1,0.564102564,1376,35,347,0,9,20,n,openjpa-kernel/src/main/java/org/apache/openjpa/event
1512,1977,967,10,1,1,0.025268699,2,1,1,0.9,498,49,271,0,6,20,n,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query
55,0,0,1,0,0,0.005049694,1,0,1,1,36,36,36,36,0,0,n,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/osgi
357,349,55,3,2,1,0.020258025,3,0,3,0.333333333,1046,348,991,13,2,0,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph
164,55,50,10,2,1,0.123339469,5,2,3,0.4,1376,137,296,0,2,4,n,openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore
1201,1575,11697,17,0,0,0.319348269,6,5,1,0.647058824,1388,81,356,0,4,72,n,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent
64,110,19,5,0,0,0.024344389,2,0,2,0.6,334,66,289,0,0,0,y,openjpa-kernel/src/main/java/org/apache/openjpa/validation
3144,6763,1043,110,27,8,0.592821294,9,8,1,0.2,1367,12,97,0,20,70,y,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc
1091,4661,888,40,6,2,0.109776853,4,3,1,0.9,374,9,35,0,13,15,n,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta
65,121,17,7,0,0,0.114895112,2,0,2,0.571428571,1376,196,1326,0,0,7,n,openjpa-kernel/src/main/java/org/apache/openjpa/ant
