loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
79,20,8,3,0,0,0.00258465,2,0,2,0.666666667,180,60,76,33,3,3,n,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/model/CXFPackage.java
12,0,0,1,0,0,0.007911423,1,0,1,1,334,334,334,334,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/strategy/TagInfoStrategyComposite.java
4,0,0,1,0,0,0.000865384,1,0,1,1,58,58,58,58,1,1,n,webservices/plugins/org.eclipse.jst.ws.annotations.core/src/org/eclipse/jst/ws/annotations/core/processor/AbstractAnnotationProcessor.java
55,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/actions/RefreshSignatures.java
45,0,0,1,0,0,0.005607599,1,0,1,1,328,328,328,328,1,1,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/registry/taglib/faceletTaglib/impl/FaceletLibraryClassTagLibImpl.java
18,0,0,1,0,0,0.00237462,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/undo/CompoundEdit.java
0,0,0,1,0,0,0.008843807,1,0,1,1,344,344,344,344,1,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/facet/ChangeActionType.java
0,0,0,1,0,0,0.00237462,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/config/ConfigEvent.java
174,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,y,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/verify/SignatureView.java
0,0,0,1,0,0,0.00237462,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/undo/CannotRedoException.java
21,0,0,1,0,0,0.00237462,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/css/TextDecorationProperty.java
34,6,1,3,0,0,0.002349362,2,0,2,0.666666667,180,60,126,0,2,1,y,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/resources/JavaResourceChangeListener.java
6,0,0,1,0,0,0.001316765,1,0,1,1,180,180,180,180,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom/I/Content.java
41,9,8,8,2,1,0.013030773,1,0,1,1,221,27,180,0,8,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/layout/DrawableBox.java
0,0,0,1,0,0,0.000432395,1,0,1,1,41,41,41,41,0,0,n,sourceediting/plugins/org.eclipse.wst.xquery.core/src/org/eclipse/wst/xquery/core/internal/parser/XQuerySourceParser.java
272,18,3,3,1,1,0.00180255,2,0,2,0.666666667,180,60,168,5,3,0,y,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/utils/SpringUtils.java
27,3,4,3,1,1,0.00249584,2,0,2,0.666666667,180,60,151,7,3,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.creation.ui/src/org/eclipse/jst/ws/internal/cxf/creation/ui/widgets/Java2WSConfigWidgetFactory.java
180,9,5,6,1,1,0.003707877,2,1,1,0.833333333,180,30,121,1,6,1,y,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/utils/CommandLineUtils.java
63,17,17,9,0,0,0.012302945,1,0,1,1,201,22,180,0,9,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/outline/DefaultOutlineProvider.java
