loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
30,1,0,2,0,0,0.00024494,2,0,2,0.5,180,90,104,76,2,2,n,"webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/model/impl/CXFDataModelImpl.f/CL/1/CXFDataModelImpl.c/MT/1/eGet(int@boolean,boolean)"
3,0,0,1,0,0,0.000337357,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/css/Styles.f/CL/1/Styles.c/MT/1/getBorderLeftWidth()
3,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,1,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.consumption.core/src/org/eclipse/jst/ws/internal/cxf/consumption/core/locator/CXFWebServiceLocator.f/CL/1/CXFWebServiceLocator.c/MT/1/getWebServiceClients(IProject[]@IProgressMonitor)
11,0,0,1,0,0,0.000118126,1,0,1,1,40,40,40,40,0,0,n,sourceediting/plugins/com.matinprobst.xqpretty/com/martinprobst/xqpretty/XQueryLexer.f/CL/1/XQueryLexer.c/MT/1/mNE()
10,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/encrypt/PageCreateKey.f/CL/1/PageCreateKey.c/MT/4/openKeystore()
5,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,1,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/model/impl/CXFDataModelImpl.f/CL/1/CXFDataModelImpl.c/MT/1/setWsdlFileName(String)
1,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,1,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/model/CXFContext.f/IN/1/CXFContext.c/MT/3/getCxfRuntimeVersion()
27,4,4,6,0,0,0.001271775,1,0,1,1,207,34,182,0,5,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/action/ActionUtils.f/CL/1/ActionUtils.c/MT/1/getPreviousSiblingStart(IVexWidget)
1,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom/I/VEXDocument.f/IN/1/VEXDocument.c/MT/3/canInsertFragment(int@VEXDocumentFragment)
6,0,0,1,0,0,0.000125961,1,0,1,1,65,65,65,65,1,1,n,webservices/plugins/org.eclipse.jst.ws.jaxws.ui/src/org/eclipse/jst/ws/internal/jaxws/ui/views/AnnotationArrayCellEditor.f/CL/1/AnnotationArrayCellEditor.c/MT/2/doGetValue()
3,0,0,1,0,0,0.000337357,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/config/DocumentType.f/CL/1/DocumentType.c/MT/1/setSystemId(String)
13,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/dialogs/MissingPreferenceDialog.f/CL/1/MissingPreferenceDialog.c/MT/2/createCustomArea(Composite)
4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/preferences/PreferencePageEncryption.f/CL/1/PreferencePageEncryption.c/MT/1/createControl(Composite)
3,0,0,1,0,0,0.000282672,1,0,1,1,207,207,207,207,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/swt/SwtGraphics.f/CL/1/SwtGraphics.c/MT/1/dispose()
19,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,"sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/preferences/PreferencePageSignature.f/CL/1/PreferencePageSignature.c/MT/4/addComboControl(Composite@Label,String,int,String[])"
3,0,0,1,0,0,0.000282672,1,0,1,1,207,207,207,207,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/swt/VexWidget.f/CL/1/VexWidget.c/MT/1/deleteNextChar()
3,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,1,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.creation.core/src/org/eclipse/jst/ws/internal/cxf/creation/core/commands/WSDL2JavaCommand.f/CL/1/WSDL2JavaCommand.c/MT/1/getCXFDataModel()
4,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,1,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.consumption.core/src/org/eclipse/jst/ws/internal/cxf/consumption/core/CXFConsumptionCorePlugin.f/CL/1/CXFConsumptionCorePlugin.c/MT/1/start(BundleContext)
9,0,0,1,0,0,0.000125961,1,0,1,1,65,65,65,65,1,1,n,webservices/plugins/org.eclipse.jst.ws.jaxws.ui/src/org/eclipse/jst/ws/internal/jaxws/ui/views/AnnotationsColumnLabelProvider.f/CL/1/AnnotationsColumnLabelProvider.c/MT/1/getImage(Object)
1,0,0,1,0,0,0.001530956,1,0,1,1,334,334,334,334,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/addtagmd/AddTagMDFactory.f/IN/1/AddTagMDFactory.c/MT/3/createAttributeData()
31,0,0,1,0,0,0.000337357,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/css/StyleSheetReader.f/CL/1/StyleSheetReader.c/CL/4/StyleSheetBuilder.c/MT/4/expandPadding(LexicalUnit@boolean)
3,0,0,1,0,0,0.000945078,1,0,1,1,328,328,328,328,1,1,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/registry/taglib/FaceletTagIndex.f/CL/1/FaceletTagIndex.c/MT/1/flush(IProject)
35,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/encrypt/PageResource.f/CL/1/PageResource.c/MT/1/handleEvent(Event)
29,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,1,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/utils/CommandLineUtils.f/CL/1/CommandLineUtils.c/MT/4/getXJCArgs(WSDL2JavaDataModel)
31,11,2,7,3,3,0.000641846,2,1,1,0.857142857,180,25,69,3,7,2,n,webservices/plugins/org.eclipse.jst.ws.cxf.creation.ui/src/org/eclipse/jst/ws/internal/cxf/creation/ui/viewers/AnnotationColumnLabelProvider.f/CL/1/AnnotationColumnLabelProvider.c/MT/1/getImage(Object)
34,0,0,1,0,0,0.000282672,1,0,1,1,207,207,207,207,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/action/InsertColumnAfterAction.f/CL/1/InsertColumnAfterAction.c/MT/1/run(IVexWidget)
3,0,0,1,0,0,0.000282672,1,0,1,1,207,207,207,207,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/swt/VexWidget.f/CL/1/VexWidget.c/MT/1/doWork(boolean@Runnable)
3,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom/impl/VEXNodeImpl.f/CL/1/VEXNodeImpl.c/MT/1/getEndOffset()
3,0,0,1,0,0,0.000118126,1,0,1,1,40,40,40,40,0,0,n,sourceediting/plugins/com.matinprobst.xqpretty/com/martinprobst/xqpretty/XQueryParser.f/CL/1/XQueryParser.c/CL/3/DFA66.c/MT/1/getDescription()
5,0,0,1,0,0,0.000118126,1,0,1,1,40,40,40,40,0,0,n,sourceediting/plugins/com.matinprobst.xqpretty/com/martinprobst/xqpretty/DebugParserBase.f/CL/1/DebugParserBase.c/MT/1/popXQueryLexer()
4,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom/impl/DomEMFFactoryImpl.f/CL/1/DomEMFFactoryImpl.c/MT/1/createVEXProcessingInstruction()
3,0,0,1,0,0,0.000337357,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/widget/VexWidgetImpl.f/CL/1/VexWidgetImpl.c/MT/1/getLayoutWidth()
1,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom/I/VEXComment.f/IN/1/VEXComment.c/MT/3/setValue(String)
3,0,0,1,0,0,0.000337357,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/widget/VexWidgetImpl.f/CL/1/VexWidgetImpl.c/MT/1/getHeight()
12,0,0,1,0,0,0.001530956,1,0,1,1,334,334,334,334,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/addtagmd/impl/AddTagMDPackageImpl.f/CL/1/AddTagMDPackageImpl.c/MT/1/createPackageContents()
3,0,0,1,0,0,0.000282672,1,0,1,1,207,207,207,207,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/swt/VexWidget.f/CL/1/VexWidget.c/MT/1/canPaste()
16,2,2,6,2,1,0.001450896,1,0,1,1,221,36,184,0,6,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/widget/VexWidgetImpl.f/CL/1/VexWidgetImpl.c/MT/1/selectWord()
1,0,0,1,0,0,0.000337357,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/widget/IVexWidget.f/IN/1/IVexWidget.c/MT/1/deleteNextChar()
11,0,0,1,0,0,0.000118126,1,0,1,1,40,40,40,40,0,0,n,sourceediting/plugins/com.matinprobst.xqpretty/com/martinprobst/xqpretty/XQueryLexer.f/CL/1/XQueryLexer.c/MT/1/mOPTION()
5,0,0,1,0,0,0.000174,1,0,1,1,180,180,180,180,1,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.ui/src/org/eclipse/jst/ws/internal/cxf/ui/widgets/Java2WSWidgetFactory.f/CL/1/Java2WSWidgetFactory.c/MT/1/createDatabindingLabel(Composite)
1,0,0,1,0,0,0.000282672,1,0,1,1,207,207,207,207,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/action/TableCellCallback.f/IN/1/TableCellCallback.c/MT/1/endRow(Object@int)
3,0,0,1,0,0,0.000337357,1,0,1,1,221,221,221,221,1,1,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/config/ConfigRegistry.f/CL/1/ConfigRegistry.c/MT/1/addConfigListener(IConfigListener)
3,0,0,1,0,0,0.000223015,1,0,1,1,193,193,193,193,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/validator/DFABuilder.f/CL/1/DFABuilder.c/MT/1/createOptionalNode(Node)
14,0,0,1,0,0,0.000118126,1,0,1,1,40,40,40,40,0,0,n,sourceediting/plugins/com.matinprobst.xqpretty/com/martinprobst/xqpretty/XMLLexer.f/CL/1/XMLLexer.c/MT/1/mNCName()
8,0,0,1,0,0,0.000945078,1,0,1,1,328,328,328,328,1,1,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/registry/taglib/faceletTaglib/impl/FaceletXMLDefnTaglibImpl.f/CL/1/FaceletXMLDefnTaglibImpl.c/MT/1/eIsSet(int)
3,0,0,1,0,0,0.000118126,1,0,1,1,40,40,40,40,0,0,n,sourceediting/plugins/com.matinprobst.xqpretty/com/martinprobst/xqpretty/LazyTokenStream.f/CL/1/LazyTokenStream.c/MT/1/rewind()
