loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
285,242,48,4,2,1,0.013477441,2,0,2,0.75,180,45,76,3,0,16,y,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/model
107,70,1043,15,1,1,0.036523024,2,1,1,0.933333333,187,12,59,0,8,1,y,sourceediting/plugins/org.eclipse.wst.xml.security.core/src/org/eclipse/wst/xml/security/core/decrypt
1283,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/actions
36,21097,32,2,0,0,0,1,0,1,1,152,76,152,0,1,0,y,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui
557,686,363,13,0,0,0.064023269,1,0,1,1,193,14,180,0,6,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/validator
2373,1022,998,14,2,1,0.105017402,1,0,1,1,221,15,180,0,9,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/layout
11,0,0,1,0,0,0,1,0,1,1,332,332,332,332,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.tagsupport/src/org/eclipse/jst/jsf/facelet/tagsupport
143,0,0,1,0,0,0.006901364,1,0,1,1,180,180,180,180,0,8,n,webservices/plugins/org.eclipse.jst.ws.cxf.apt.core/src/org/eclipse/jst/ws/internal/cxf/apt/core/annotations/jaxws
164,100,82,10,0,0,0.072223969,1,0,1,1,201,20,152,0,6,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/outline
706,0,0,1,0,0,0.022586624,1,0,1,1,328,328,328,328,0,12,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/registry/taglib/faceletTaglib/impl
30,0,0,1,0,0,0.003477088,1,0,1,1,65,65,65,65,0,1,n,webservices/plugins/org.eclipse.jst.ws.jaxws.ui/src/org/eclipse/jst/ws/internal/jaxws/ui/widgets
20,329,170,10,3,3,0.009238489,2,1,1,0.9,180,18,64,2,0,2,y,webservices/plugins/org.eclipse.jst.ws.cxf.creation.core/src/org/eclipse/jst/ws/internal/cxf/creation/core
21,0,0,1,0,0,0.009721832,1,0,1,1,201,201,201,201,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/perspective
1777,839,8,5,0,0,0.016363228,1,0,1,1,180,36,156,0,0,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom/impl
57,0,0,1,0,0,0.037524251,1,0,1,1,334,334,334,334,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/addtagmd/util
1502,1797,3386,30,2,1,0.129041534,1,0,1,1,221,7,156,0,23,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/dom
527,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/preferences
186,57,850,12,0,0,0.022165487,2,1,1,0.916666667,187,15,90,0,1,9,n,sourceediting/plugins/org.eclipse.wst.xml.security.core/src/org/eclipse/wst/xml/security/core/verify
233,15,0,2,0,0,0.004860941,1,0,1,1,58,29,41,16,0,0,y,webservices/plugins/org.eclipse.jst.ws.jaxws.core/src/org/eclipse/jst/ws/jaxws/core/utils
523,189,193,7,1,1,0.015067648,1,0,1,1,58,8,41,0,0,0,y,webservices/plugins/org.eclipse.jst.ws.annotations.core/src/org/eclipse/jst/ws/annotations/core
108,0,0,1,0,0,0.009721832,1,0,1,1,201,201,201,201,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/contentassist
848,2845,14,13,2,1,0.119655989,1,0,1,1,221,17,180,0,5,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/action
84,259,0,2,0,0,0.011286407,1,0,1,1,327,163,317,9,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/attributevalues
1208,965,921,4,1,1,0.04761461,1,0,1,1,328,82,187,0,3,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/registry/taglib
1936,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/sign
87,8,2,3,0,0,0.014503742,2,0,2,0.666666667,180,60,121,21,0,2,y,webservices/plugins/org.eclipse.jst.ws.cxf.consumption.core/src/org/eclipse/jst/ws/internal/cxf/consumption/core/commands
4,0,0,1,0,0,0.004860941,1,0,1,1,58,58,58,58,0,1,n,webservices/plugins/org.eclipse.jst.ws.annotations.core/src/org/eclipse/jst/ws/annotations/core/processor
105,6,6,3,0,0,0.01022411,1,0,1,1,58,19,47,1,0,0,y,webservices/plugins/org.eclipse.jst.ws.jaxws.ui/src/org/eclipse/jst/ws/internal/jaxws/ui/annotations/contentassist
44,90,87,6,0,0,0.035189648,1,0,1,1,198,33,180,0,1,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.docbook/src/org/eclipse/wst/xml/vex/docbook
513,1632,557,3,0,0,0.118093497,1,0,1,1,424,141,344,10,2,6,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/facet
452,4097,421,11,0,0,0.2752371,1,0,1,1,424,38,317,0,3,7,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm
287,929,244,4,0,0,0.015094839,1,0,1,1,65,16,44,4,0,0,y,webservices/plugins/org.eclipse.jst.ws.jaxws.core/src/org/eclipse/jst/ws/internal/jaxws/core/annotations/initialization
22,0,0,1,0,0,0.006901364,1,0,1,1,180,180,180,180,0,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.consumption.core/src/org/eclipse/jst/ws/internal/cxf/consumption/core/locator
116,0,0,1,0,0,0.006901364,1,0,1,1,180,180,180,180,0,2,n,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/model/util
109,1685,2356,19,3,3,0.027772621,2,1,1,0.947368421,180,9,37,0,3,11,y,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core
20,11,5,4,1,1,0.010351261,2,0,2,0.75,180,45,121,9,0,0,y,webservices/plugins/org.eclipse.jst.ws.cxf.consumption.core/src/org/eclipse/jst/ws/internal/cxf/consumption/core
11,0,0,1,0,0,0.002754521,1,0,1,1,41,41,41,41,0,0,n,sourceediting/plugins/org.eclipse.wst.xquery.core/src/org/eclipse/wst/xquery/core/internal
264,638,0,4,0,0,0.009852463,2,0,2,0.75,58,14,30,0,0,0,y,webservices/plugins/org.eclipse.jst.ws.jaxws.core/src/org/eclipse/jst/ws/internal/jaxws/core/annotations/validation
66,16,3,3,0,0,0.01172389,2,0,2,0.666666667,180,60,126,0,0,2,y,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/resources
63,252,203,2,0,0,0.104448598,1,0,1,1,424,212,344,79,1,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.ui/src/org/eclipse/jst/jsf/facelet/ui/internal/facet
20,1009,350,10,3,4,0.016927338,2,1,1,0.9,180,18,75,0,0,4,y,webservices/plugins/org.eclipse.jst.ws.cxf.ui/src/org/eclipse/jst/ws/internal/cxf/ui
308,141,90,3,2,1,0.013477441,2,0,2,0.666666667,180,60,76,33,0,3,n,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/context
75,1124,35,5,0,0,0.013668556,1,0,1,1,180,36,156,0,0,0,y,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom
40,10,1,5,2,2,0.015643173,2,0,2,0.8,180,36,121,3,0,0,y,webservices/plugins/org.eclipse.jst.ws.cxf.consumption.ui/src/org/eclipse/jst/ws/internal/cxf/consumption/ui/widgets/object
26,0,0,1,0,0,0.002754521,1,0,1,1,41,41,41,41,0,0,n,sourceediting/plugins/org.eclipse.wst.xquery.core/src/org/eclipse/wst/xquery/core/internal/encoding
31,1,1,2,0,0,0.008338028,1,0,1,1,65,32,58,6,0,1,n,webservices/plugins/org.eclipse.jst.ws.jaxws.ui/src/org/eclipse/jst/ws/internal/jaxws/ui/actions
89,38,25,10,0,0,0.074956851,1,0,1,1,201,20,180,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/property
61,35,21,2,0,0,0.010297168,2,0,2,0.5,180,90,171,9,0,3,y,webservices/plugins/org.eclipse.jst.ws.cxf.ui/src/org/eclipse/jst/ws/internal/cxf/ui/viewers
1,0,0,1,0,0,0.002754521,1,0,1,1,41,41,41,41,0,0,n,sourceediting/plugins/org.eclipse.wst.xquery.core/src/org/eclipse/wst/xquery/core/internal/provisional/adapters
178,0,0,1,0,0,0.009721832,1,0,1,1,201,201,201,201,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.ui/src/org/eclipse/wst/xml/vex/ui/internal/views
172,57,0,2,0,0,0.009083907,1,0,1,1,180,90,179,1,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom/util
145,18,38,4,1,1,0.01787649,2,0,2,0.75,180,45,76,17,0,1,y,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/facet
154,0,0,1,0,0,0.037524251,1,0,1,1,334,334,334,334,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/addtagmd/provider
9,0,0,1,0,0,0.006901364,1,0,1,1,180,180,180,180,0,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.creation.ui/src/org/eclipse/jst/ws/internal/cxf/creation/ui/selection
27,0,0,1,0,0,0.002754521,1,0,1,1,41,41,41,41,0,0,n,sourceediting/plugins/org.eclipse.wst.xquery.core/src/org/eclipse/wst/xquery/core/internal/text/rules
205,873,1030,10,0,0,0.283229739,1,0,1,1,424,42,327,0,4,16,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/tagmodel
302,150,6,4,2,1,0.016218878,2,0,2,0.75,180,45,76,11,0,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.ui/src/org/eclipse/jst/ws/internal/cxf/ui/preferences
116,56,0,4,0,0,0.015840521,1,0,1,1,180,45,156,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src-emf/org/eclipse/wst/xml/vex/core/internal/provisional/dom/I
62,0,0,1,0,0,0.022586624,1,0,1,1,328,328,328,328,0,26,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/registry/taglib/faceletTaglib
39,0,0,1,0,0,0.004860941,1,0,1,1,58,58,58,58,0,2,y,webservices/plugins/org.eclipse.jst.ws.annotations.core/src/org/eclipse/jst/ws/internal/annotations/core/processor
15,68,269,20,0,0,0.070747419,1,0,1,1,193,9,180,0,11,0,n,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal/provisional/dom
176,165,48,3,0,0,0.06202992,1,0,1,1,334,111,327,0,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/strategy
444,10160,1058,12,2,2,0.245601588,1,0,1,1,424,35,187,0,5,9,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/registry
344,118,153,7,2,3,0.02023667,2,1,1,0.857142857,180,25,121,3,0,0,y,webservices/plugins/org.eclipse.jst.ws.cxf.consumption.ui/src/org/eclipse/jst/ws/internal/cxf/consumption/ui/widgets
60,0,0,1,0,0,0.037524251,1,0,1,1,334,334,334,334,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/addtagmd
327,234,60,5,0,0,0.224067949,1,0,1,1,424,84,344,1,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.ui/src/org/eclipse/jst/jsf/facelet/ui/internal/contentassist
133,435,6,4,0,0,0.16340769,1,0,1,1,423,105,334,3,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/util
14,703,303,6,0,0,0.104448598,1,0,1,1,424,70,344,1,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.ui/src/org/eclipse/jst/jsf/facelet/ui/internal
23,818,520,15,4,5,0.010351261,2,1,1,0.933333333,180,12,46,0,0,12,y,webservices/plugins/org.eclipse.jst.ws.cxf.creation.ui/src/org/eclipse/jst/ws/internal/cxf/creation/ui
276,0,0,1,0,0,0.037524251,1,0,1,1,334,334,334,334,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.core/src/org/eclipse/jst/jsf/facelet/core/internal/cm/addtagmd/impl
11,3,3,2,0,0,0.011762305,2,0,2,0.5,180,90,121,58,0,10,n,webservices/plugins/org.eclipse.jst.ws.cxf.apt.core/src/org/eclipse/jst/ws/internal/cxf/apt/core
317,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,y,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/decrypt
9,6317,13359,38,2,1,0.033555842,1,0,1,1,221,5,93,0,7,57,y,sourceediting/plugins/org.eclipse.wst.xml.vex.core/src/org/eclipse/wst/xml/vex/core/internal
202,114,5146,23,1,1,0.046759765,2,1,1,0.956521739,187,8,54,0,10,3,n,sourceediting/plugins/org.eclipse.wst.xml.security.core/src/org/eclipse/wst/xml/security/core/encrypt
116,0,0,1,0,0,0.006901364,1,0,1,1,180,180,180,180,0,1,n,webservices/plugins/org.eclipse.jst.ws.cxf.ui/src/org/eclipse/jst/ws/internal/cxf/ui/dialogs
1144,989,1936,15,1,1,0.03637403,2,1,1,0.933333333,180,12,52,0,4,4,y,webservices/plugins/org.eclipse.jst.ws.cxf.core/src/org/eclipse/jst/ws/internal/cxf/core/utils
186,0,0,1,0,0,0.002754521,1,0,1,1,41,41,41,41,0,0,n,sourceediting/plugins/org.eclipse.wst.xquery.core/src/org/eclipse/wst/xquery/core/internal/parser
53,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.ui/src/org/eclipse/wst/xml/security/ui/cheatsheets
20,130,165,8,2,4,0.013747064,2,1,1,0.875,180,22,121,2,0,0,y,webservices/plugins/org.eclipse.jst.ws.cxf.consumption.ui/src/org/eclipse/jst/ws/internal/cxf/consumption/ui
56,8,8,3,0,0,0.150025965,1,0,1,1,424,141,344,1,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.ui/src/org/eclipse/jst/jsf/facelet/ui/internal/hover
107,195,12,3,0,0,0.115775591,1,0,1,1,424,141,410,1,0,0,n,org.eclipse.jsf/plugins/org.eclipse.jst.jsf.facelet.ui/src/org/eclipse/jst/jsf/facelet/ui/internal/validation
219,0,0,1,0,0,0.001971408,1,0,1,1,52,52,52,52,0,0,n,sourceediting/plugins/org.eclipse.wst.xml.security.core/src/org/eclipse/wst/xml/security/core/cryptography
