loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
89,0,0,1,0,0,0,0.000743603453701389,1,0,1,1,1027,1027,1027,1027,2,0,n,"wicket-extensions/src/main/java/wicket/extensions/wizard/WizardStep.java"
3,0,0,1,0,0,0,0.000225234799287082,1,0,1,1,932,932,932,932,2,0,n,"wicket-examples/src/main/java/wicket/examples/hangman/HangmanSession.java"
0,0,0,1,0,0,0,0.00054974101264898,1,0,1,1,1027,1027,1027,1027,2,0,n,"wicket-extensions/src/main/java/wicket/extensions/markup/html/repeater/data/table/filter/FilteredAbstractColumn.java"
11,0,0,1,0,0,0,0.00054974101264898,1,0,1,1,1027,1027,1027,1027,2,0,n,"wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/repeater/data/table/AjaxFallbackHeadersToolbar.java"
3,1,0,2,0,0,0,0.000105141172820369,2,0,2,0.5,441,220,436,4,2,2,n,"wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/tabs/ITab.java"
20,3,3,2,1,1,0,0.000159884014006948,1,0,1,1,477,238,376,101,2,0,n,"wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/table/AbstractColumn.java"
66,19,2,3,0,0,0,0.0039825871451797,3,0,3,0.333333333333333,1688,562,1566,49,0,0,n,"wicket-examples/src/java/wicket/examples/library/Book.java"
16,1,1,2,0,0,0,0.000410505049298508,2,0,2,0.5,845,422,781,64,1,1,n,"jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/wizard/IWizardModel.java"
3,0,0,1,0,0,0,5.27719835579766e-05,1,0,1,1,783,783,783,783,0,0,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/resource/ContextRelativeResource.java"
48,0,0,1,0,0,0,3.4628902464852e-05,1,0,1,1,429,429,429,429,0,0,n,"wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/grid/AbstractDataGridView.java"
28,0,0,1,0,0,0,0.000225234799287082,1,0,1,1,932,932,932,932,2,1,n,"wicket/src/main/java/wicket/protocol/http/WebSession.java"
0,2,2,2,0,0,0,0.000168925673934124,1,0,1,1,777,388,777,0,0,0,n,"jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/authorization/pages/AdminBookmarkablePage.java"
51,40,8,6,0,0,0,0.000594297275637949,5,4,1,0.333333333333333,1203,200,1106,0,0,0,n,"wicket/src/java/wicket/util/string/JavascriptUtils.java"
39,4,4,2,0,0,0,0.000159035393701241,2,0,2,0.5,433,216,383,50,2,2,n,"wicket-examples/src/main/java/org/apache/wicket/examples/upload/MultiUploadPage.java"
2,2,2,2,0,0,0,0.000245574218555271,2,0,2,0.5,844,422,480,364,2,1,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/model/IComponentAssignedModel.java"
39,2,14,4,0,0,0,0.000813901014321645,3,0,3,0.5,979,244,886,0,3,1,n,"wicket/src/main/java/wicket/protocol/http/request/WebExternalResourceRequestTarget.java"
43,15,15,3,0,0,0,0.000421523083543174,2,0,2,0.666666666666667,844,281,481,118,3,1,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/parser/filter/EnclosureHandler.java"
7,0,0,1,0,0,0,9.84017509079142e-05,1,0,1,1,125,125,125,125,1,1,n,"wicket-devutils/src/main/java/org/apache/wicket/devutils/inspector/SessionSizeModel.java"
12,0,0,1,0,0,0,0.000168925673934124,1,0,1,1,777,777,777,777,0,0,n,"jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/authorization/User.java"
0,0,0,1,0,0,0,1.06045711050537e-05,1,0,1,1,791,791,791,791,0,0,n,"jdk-1.4/wicket/src/main/java/org/apache/wicket/util/upload/FileUploadException.java"
1,1,1,2,0,0,0,0.000645847146431209,1,0,1,1,784,392,784,0,1,0,n,"jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/tree/table/IRenderable.java"
3,0,0,1,0,0,0,0.000109049336830964,1,0,1,1,440,440,440,440,1,1,n,"wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/table/filter/TextFilter.java"
0,0,0,1,0,0,0,0.000503647829489748,1,0,1,1,1309,1309,1309,1309,0,0,n,"wicket/src/java/wicket/protocol/http/WebApplicationFactoryCreationException.java"
7,1,1,2,0,0,0,0.000645847146431209,1,0,1,1,784,392,784,0,1,0,n,"jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/tree/table/IColumn.java"
54,13,20,7,2,2,0,0.000371661272928892,4,2,2,0.428571428571429,479,68,137,0,7,0,n,"wicket/src/main/java/org/apache/wicket/request/target/coding/MixedParamUrlCodingStrategy.java"
0,0,3,2,0,0,0,0.000527079644377546,1,0,1,1,1267,633,1267,0,0,0,n,"wicket-auth-roles-examples/src/main/java/wicket/authentication/example/HomePage.java"
1,0,1,2,0,0,0,0.00217106224269574,1,0,1,1,1616,808,1598,18,0,0,n,"wicket/src/java/wicket/model/IDetachable.java"
162,6,2,2,1,1,0,4.61316077375564e-05,2,0,2,0.5,893,446,879,13,3,0,n,"wicket/src/main/java/wicket/request/AbstractRequestCycleProcessor.java"
0,3,6,5,0,0,0,0.00745954272234298,2,0,2,0.8,1688,337,1623,1,0,0,n,"wicket-examples/src/java/wicket/examples/encodings/EncodingsApplication.java"
0,0,0,1,0,0,0,0.000527079644377546,1,0,1,1,1267,1267,1267,1267,0,0,n,"wicket/src/java/wicket/request/target/component/ExpiredPageClassRequestTarget.java"
