loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
3,0,0,1,0,0,0,6.48631161036806e-05,1,0,1,1,96,96,96,96,1,1,n,"plugins/org.eclipse.xtend.middleend.xtend/src/org/eclipse/xtend/middleend/xtend/internal/OldExpressionConverter.f/CL/1/OldExpressionConverter.c/MT/4/isNullIfNullParam(String)"
1,0,0,1,0,0,0,0.000271122147941053,1,0,1,1,527,527,527,527,1,1,n,"plugins/org.eclipse.xtend/src/org/eclipse/internal/xtend/expression/ast/ISyntaxElement.f/IN/1/ISyntaxElement.c/MT/1/getNameString(ExecutionContext)"
10,0,0,1,0,0,0,0.000107118711825446,1,0,1,1,427,427,427,427,0,0,n,"plugins/org.eclipse.xpand3.parser/emf-gen/org/eclipse/xpand3/internal/frontend/parser/xpand3node/impl/ExtensionNodeImpl.f/CL/1/ExtensionNodeImpl.c/MT/1/getCreate()"
3,0,0,1,0,0,0,7.06715936650444e-05,1,0,1,1,48,48,48,48,0,0,n,"plugins/org.eclipse.xtend.typesystem.xsd/src/org/eclipse/xtend/typesystem/xsd/XMLWriter.f/CL/1/XMLWriter.c/CL/4/XMLWriterResource.c/MT/1/getFullyQualifiedName()"
8,3,3,2,0,0,0,0.000115254550990332,2,0,2,0.5,209,104,123,85,1,1,n,"plugins/org.eclipse.xtend.typesystem.emf/src/org/eclipse/xtend/typesystem/emf/check/CheckEValidatorAdapter.f/CL/1/CheckEValidatorAdapter.c/MT/1/validate(EDataType@Object,DiagnosticChain,Map<Object,Object>)"
3,0,0,1,0,0,0,0.000107118711825446,1,0,1,1,427,427,427,427,0,0,n,"plugins/org.eclipse.xpand3.common/emf-gen/org/eclipse/xpand3/staticTypesystem/impl/TypeVariableImpl.f/CL/1/TypeVariableImpl.c/MT/1/basicGetDeclaredTypeParameter()"
3,0,0,1,0,0,0,0.000107118711825446,1,0,1,1,427,427,427,427,0,0,n,"plugins/org.eclipse.xpand3.parser/emf-gen/org/eclipse/xpand3/internal/frontend/parser/xpand3node/util/Xpand3nodeAdapterFactory.f/CL/1/Xpand3nodeAdapterFactory.c/MT/1/createTextSequenceNodeAdapter()"
44,10,10,2,0,0,0,0.000309253783226794,2,0,2,0.5,527,263,354,173,1,1,n,"plugins/org.eclipse.xtend/src/org/eclipse/internal/xtend/xtend/parser/XtendParser.f/CL/1/XtendParser.c/MT/1/chainExpression()"
3,0,0,1,0,0,0,0.000107118711825446,1,0,1,1,427,427,427,427,0,0,n,"plugins/org.eclipse.xpand3.parser/emf-gen/org/eclipse/xpand3/statement/impl/FileStatementImpl.f/CL/1/FileStatementImpl.c/MT/1/getFileNameExpression()"
3,0,0,1,0,0,0,0.000271122147941053,1,0,1,1,527,527,527,527,1,1,n,"plugins/org.eclipse.xtend/src/org/eclipse/xtend/expression/TypeSystemImpl.f/CL/1/TypeSystemImpl.c/MT/1/release()"
3,0,0,1,0,0,0,0.000106584707984679,1,0,1,1,442,442,442,442,1,1,n,"plugins/org.eclipse.xtend.middleend.xtend/src/org/eclipse/xtend/middleend/xtend/internal/xtendlib/XtendIterator.f/CL/1/XtendIterator.c/MT/1/getCounter1()"
11,0,0,1,0,0,0,0.00016720848200779,1,0,1,1,447,447,447,447,1,0,n,"plugins/org.eclipse.xtend.middleend.old/src/org/eclipse/xtend/middleend/old/common/OldExpressionConverter.f/CL/1/OldExpressionConverter.c/MT/4/convertTypeSelectExpression(TypeSelectExpression)"
